iter,td_loss_est,cos_w_wr,w_dot_wr_over_n,w_norm,theta_pi_norm,theta_mu_norm,tracking_gap,mean_rho2,p95_rho2,action_mean,action_var,dist_action_kl
0,0.00034755832885131736,0.05625011905297047,0.0009329618156202206,0.10278435960133529,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.0165172238912653,0.033370020715093165,0.0
1,2.7430422654197434e-05,0.05628160104712852,0.000933417973428626,0.1027770923351387,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.048421314330865675,0.04622989450660035,0.0
2,2.8933311401848564e-05,0.05633430464301428,0.0009343029752018586,0.10277829405833319,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.03219849370545686,0.039838811751971695,0.0
3,0.0001757504606156133,0.0566908133792428,0.0009402008926035509,0.10277667942064281,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.01855689634976404,0.03813638327825904,0.0
4,2.2313136481944867e-05,0.05671817469405505,0.0009406460882880062,0.10277574153906001,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.0028972254811947687,0.03804802462040441,0.0
5,0.00018427285479908384,0.057068841125297136,0.00094632649258752,0.10276105537311861,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.006445223503114664,0.04589849761177189,0.0
6,0.00021495933645788792,0.057574817603490036,0.0009547829646727713,0.10276818866226584,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.020178839616812095,0.05383037541284587,0.0
7,4.22042000217291e-05,0.05762000211096176,0.0009553949446649728,0.10275341869906267,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.005915273241123325,0.04126422522501999,0.0
8,3.533997899657017e-05,0.05765674462685423,0.0009559047884904504,0.1027427368659883,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.019791184421610146,0.03935269051839968,0.0
9,5.01526403027597e-05,0.05769147483952297,0.0009564735623423306,0.10274198209192277,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.004719838909364886,0.04001427109091886,0.0
10,0.00031800799883784553,0.05827920760033886,0.0009660163285875993,0.10272057463067474,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.030820132424430314,0.049276614570251245,0.0
11,0.0001290457841142972,0.05851277785785692,0.000969879126311948,0.10271964437845069,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.018027864861466486,0.029845415494479666,0.0
12,0.0001979136075316086,0.05885235764140503,0.0009754968863574953,0.10271849156847075,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.0500172832792276,0.04084921162187087,0.0
13,0.00017785844606700845,0.05918420176268246,0.0009809445018776038,0.10271296210981332,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.008821286227463171,0.04772689853829546,0.0
14,1.1272205152158085e-05,0.059204363958947445,0.0009812318784686923,0.10270806339674154,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.009568238006118284,0.03955235110855855,0.0
15,0.00017127777002859572,0.05955067248930468,0.0009869235891240826,0.10270308054545074,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.003027417156874479,0.04042229609029546,0.0
16,2.7406225848216107e-05,0.059573039952254644,0.0009872087054307115,0.10269417851883345,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.05645089222287034,0.04006414958869722,0.0
17,9.991587714580337e-05,0.059778485585748366,0.0009906485944162727,0.10269784493062842,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.013999487115928095,0.04399822114335304,0.0
18,1.0191237340792618e-05,0.05978974571983599,0.0009908167447100448,0.10269593236418473,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.014667151338293799,0.04319438921647964,0.0
19,0.00018706092671592079,0.06013369507530248,0.0009965023698484388,0.10269446952719985,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.005451697710965442,0.03446072065611557,0.0
20,0.00014763244970947078,0.060439434228174466,0.0010015406731164584,0.10269157428101447,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.007164835795074347,0.0402309866157827,0.0
21,1.3508247901140137e-05,0.06045354543191995,0.0010017543772965986,0.10268951052569565,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.028172007380612332,0.038859728992698156,0.0
22,1.7999853401197442e-05,0.06047216378278004,0.001002022237588094,0.1026853439878299,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.027346724685396444,0.036245659007939024,0.0
23,4.870296875674375e-05,0.06051749995501413,0.0010026736619198552,0.1026751248559629,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.026944604108253833,0.04122363041206479,0.0
24,0.00024845461633830695,0.0609724895106457,0.0010100878363817074,0.10266249737151388,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.008015101529331874,0.03284122994669218,0.0
25,0.00025669071518174283,0.06150149144097611,0.001018694708391445,0.10264670514866571,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.008165764861382879,0.04572267912210455,0.0
26,0.00019868505667426084,0.06187651090975556,0.0010247674733985185,0.1026327879957795,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.002539528620055409,0.03317456067352922,0.0
27,0.00016793930670898035,0.06222182854222332,0.001030459269133473,0.10263008094299007,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.015486437749769459,0.04171829453743037,0.0
28,3.290725439755446e-05,0.06226111644924895,0.0010311024559671162,0.10262933817881931,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.03854422249775478,0.04211008858145801,0.0
29,1.9655495094611003e-05,0.06228108923884975,0.0010313907746284689,0.10262511438642967,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.019666979789727493,0.04097370078759787,0.0
30,1.0281702762727091e-05,0.06229014858145948,0.0010315260772744894,0.10262364969737195,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.031201664172513736,0.03373909141233068,0.0
31,0.00012720196455901387,0.06252185786002139,0.0010353091036258532,0.1026182889892988,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.017054795153596425,0.031330460216216466,0.0
32,1.4804425836637415e-05,0.06253919977160433,0.001035558429443704,0.102614539229071,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.006963981949249878,0.04197527959341317,0.0
33,0.00016379637493876408,0.06287102133562593,0.0010410237366977244,0.10261166335793762,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.023114262956947497,0.03248102505563835,0.0
34,0.00012350727072274681,0.06309894265951256,0.001044785141667978,0.10261043219580268,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.02033260591318478,0.043875258381333625,0.0
35,0.0001140199780266682,0.06334083775403819,0.0010488336431493145,0.10261466167834701,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.0210272529786083,0.030388874535396095,0.0
36,0.00017404582580099183,0.06367733139081559,0.0010544198975345653,0.10261606320453909,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.026343727083149953,0.0339438485114089,0.0
37,4.659993317203723e-06,0.06368269940162467,0.0010545179641104408,0.10261695640775181,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.0058516591719253285,0.038502125427527414,0.0
38,2.084438011588765e-05,0.06371037440190368,0.0010549409248818617,0.10261352202946344,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,-0.017410724052233525,0.036126279262307034,0.0
39,6.205171518303579e-05,0.06374306149153028,0.0010554204403947181,0.10260752067415455,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.01871437631066545,0.047250288675607724,0.0
