case,status,td_loss_est_end,w_dot_wr_over_n_end,cos_w_wr_end,w_norm_end,theta_pi_norm_end,theta_mu_norm_end,tracking_gap_end,mean_rho2_end,p95_rho2_end,action_mean_end,action_var_end,dist_action_kl_end,sigma_condition
C0_onpolicy_critic_only,PASS,8.585954685795317e-05,0.0006314608110094913,0.03827639474986888,0.10223556212823837,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.006364558066779203,0.037970693723155494,0.0,True
C1_onpolicy_actor_on,PASS,8.028023372154532e-05,0.001702548778235368,0.10695456987795933,0.09864766931081033,0.1460038852749107,0.1460038852749107,0.0,1.0,1.0,-0.007912215546697942,0.0414085603936182,0.0,True
C2_offpolicy_fixed_behavior,PASS,0.00010536126474695543,0.0007752566669211833,0.04741554999441492,0.1013237671650067,0.13029524073045734,0.7071067811863785,0.6696444941133685,2.307316805734979,8.679748062959977,-0.01921806328984384,0.1222059838558649,0.5070661381059284,True
C3_offpolicy_tracking_beta_small,PASS,7.987397875313137e-05,0.0005507578141377954,0.03432813201941787,0.0994253450720323,0.14472471445592397,0.14473807908402114,0.00017873502880047778,2.0601482095981636,7.4086178150062665,0.006593783075757582,0.11285502813171658,0.4457621953144874,True
C4_offpolicy_tracking_beta_mid,PASS,6.917551513265241e-05,-0.0016744403046916184,-0.0977214752430057,0.10618575653639321,0.1375447918587655,0.1375367589587906,4.189079778701953e-05,1.834743591730202,7.362351400641873,-0.010771686421797783,0.1240682480397913,0.4457621904077032,True
C5_gamma_zero_sanity,PASS,7.123143834107069e-05,-0.001429902351719536,-0.08741346053018335,0.10137122111881529,0.14175561136039225,0.14173229421809364,9.403725950499022e-05,0.9999944755862414,1.000438904302695,0.02458175090182659,0.03972017163641224,2.37953972470617e-08,True
C6_batch_scaling_check_B1,PASS,0.00017765677076615654,0.0011599765887698415,0.07013047007992292,0.1025012319784562,0.15117697294144397,0.15117697294144397,0.0,1.0,1.0,0.07305630726059009,0.04109536557280616,0.0,True
C7_batch_scaling_check_B4,PASS,0.0001483147851661374,4.0088143149008245e-05,0.002955629599499563,0.08405286948048901,0.1635572745496423,0.1635572745496423,0.0,1.0,1.0,-0.004401317071970328,0.040441081045000396,0.0,True
