iter,td_loss,w_norm,tracking_gap,teacher_error,mean_rho,mean_rho2,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,delta_mean,delta_std,delta_p95,delta_p99,delta_max,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,tol,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
0.0,2.8734979174824267e-05,9.163335700201637,3.940116698584786e-12,0.0445516578254861,0.9637168231657484,4.829928360127712,0.39069371727188495,58.856481637946544,2.410618417801001,5.977217576206762,5.8110910233505395,35.727175909167656,3464.085430797939,-0.0007241999277650324,0.0053113570431151955,0.004518501902486328,0.008677728933819314,0.025890311456064116,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8734979174824267e-05,,,,,,
1.0,2.515305668709257e-05,9.163314192918138,4.933845782339545e-12,0.044550818504948866,0.9971955263571525,5.427609769365202,0.3906251004925081,83.12033880107471,2.471830288775579,7.225477084134268,6.109951788071748,52.20819975656618,6908.990722405446,-0.0003639366305333753,0.00500206025713891,0.004321625199970908,0.008154807069413078,0.01982462199682553,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.515305668709257e-05,,,,,,
2.0,2.5083554043341174e-05,9.1632802355031,9.304026958660582e-12,0.044549723013275026,0.9991920680846299,12.225608212098765,0.39076291622312853,172.4469215117855,2.3058036373739417,5.948910029705332,5.316740186792709,35.389721779352485,29737.940738891906,-0.0009029009668801962,0.004926289058444295,0.003770433924072954,0.006530891271151567,0.018612258032021742,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5083554043341174e-05,,,,,,
3.0,2.4286102434165304e-05,9.16325419391958,1.6036121562873123e-11,0.044548624842390194,0.9716873904307554,6.87259237313596,0.39066317720310306,112.06973467075069,2.3002908128895543,5.86966588702543,5.291345304662492,34.45347954314156,12559.62542917246,-0.0006056073151411564,0.004890740456619306,0.004178876615292785,0.007354082624555776,0.021723383475216147,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4286102434165304e-05,,,,,,
4.0,2.5720962800675433e-05,9.163226139106616,2.482741258700723e-11,0.04454746797954308,0.994426023423278,5.389723289834446,0.39071741672116983,60.764027709842495,2.357611771682148,5.904416205212879,5.558333822549722,34.86317977317424,3692.2670635225063,-0.0007463792832519045,0.005016361307382853,0.004233902739795047,0.007235030797062539,0.024356256660140234,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5720962800675433e-05,,,,,,
5.0,2.7395287776405496e-05,9.163196449717422,2.8566530919615026e-11,0.04454650794466821,1.0051327292209469,9.615299510250217,0.3907607208308877,150.63998643642486,2.490156113009186,7.148174891503114,6.20088265674012,51.097193247880696,22692.405513566267,-0.0007196186188251219,0.005184345360780445,0.004322243611600571,0.006970391297432305,0.02582936021120248,0.9998560831649781,0.9998560831649781,1.4314629098184293e-05,20.0,4096.0,0.00025,0.9679996941805873,4.172131294118325,0.3906476359102356,58.33706699414981,2.4083393849461703,6.014064616613022,10.0,0.0,0.34209017849247403,0.0,0.0,nan,2000.0,1e-07,0.037869752841046544,2.323683386257309,0.6994741623222228,4096.0,0.6199927415406408,0.33384721248299426,64.0,2.7395287776405496e-05,1.409784652765676e-05,1.3297441248748736e-05,0.48539155190774486,8.0,200.0,200.0
6.0,2.583202113870707e-05,9.163175687401726,3.963051265591088e-11,0.044545737533499746,1.0671050632481518,19.04862312659946,0.39071991188112654,172.78305125105172,2.4198978498118713,5.538802484901394,5.855909216234125,30.67867936082221,29853.982799623565,-0.0008336122789345929,0.0050136924224683495,0.0040071531613697755,0.007126148161944767,0.021274895037871958,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.583202113870707e-05,,,,,,
7.0,2.610417933124854e-05,9.163149703468148,4.1442986280798685e-11,0.044544826843453705,0.9558041468450077,3.496501395487651,0.39064898443930857,48.20291551689114,2.513696689471934,6.138775589820626,6.318671370456951,37.685030826617826,2323.5210643285445,-0.0006845148729537879,0.005063162916592118,0.004128026349418979,0.00716837145271479,0.024625597042350067,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.610417933124854e-05,,,,,,
8.0,2.5838284070981418e-05,9.163049469005957,1.7290058504540654e-10,0.04454315680883135,1.1025036399072297,42.38152354259084,0.39065253637538133,323.7115510959658,2.5294833109383656,7.002747874008578,6.398291289762954,49.038492523447644,104789.16831295606,-0.000581147849728518,0.005049807050545332,0.00438879764370085,0.007241968229610741,0.02354970349853366,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5838284070981418e-05,,,,,,
9.0,2.6643823744990072e-05,9.163027054074464,1.76577347831517e-10,0.04454235749173133,0.9460392584670413,4.160603470135725,0.39064666153360494,70.72796912073856,2.2944631254270984,5.704249005807407,5.264565268448804,32.53889408209021,5002.445615944148,-0.0008108058355815262,0.005097687479826222,0.003947295861429935,0.0074586314248008875,0.022101589539926574,0.9998579664696767,0.9998579664696767,1.39954685793159e-05,20.0,4096.0,0.00025,0.9429780639483926,4.052647998256877,0.3906306057346826,68.96033629300648,2.2302107199122685,6.545417661872366,10.0,0.0,0.39070314523861066,0.12525804937419324,1.0,nan,2000.0,1e-07,0.022409362727685234,2.336655896274362,0.5058180642714647,4096.0,0.6199927416920259,0.3338530382683237,64.0,2.6643823744990072e-05,1.4248252078650727e-05,1.2395571666339345e-05,0.4652324600619731,8.0,200.0,200.0
10.0,2.3424924263136734e-05,9.163004927254606,1.8300866594784072e-10,0.04454157977301561,0.9421080602500096,3.2921345113302234,0.39064802663335724,53.80747019052265,2.31127685924231,6.050562955544616,5.342001541458094,36.60943113988308,2895.2438483039837,-0.0005983932688363114,0.00480279603553473,0.0040488450819458665,0.007040151626546018,0.018615669433019996,0.9998389793912188,0.9998389793912188,1.7068441904738222e-05,20.0,4096.0,0.00025,0.9920453144616106,16.427782793418444,0.3906801713432608,175.98553044730633,2.157095915561429,4.9361999784652415,10.0,0.0,0.3558645232168494,0.11385482970189577,1.0,nan,2000.0,1e-07,0.0158338386987128,2.3375063472176905,0.42528886970784907,4096.0,0.6199927417266966,0.333327638497359,64.0,2.3424924263136734e-05,1.1058673863042697e-05,1.2366250400094036e-05,0.5279099416152444,8.0,200.0,200.0
11.0,2.591811530549157e-05,9.162982766547803,1.861027247232648e-10,0.04454069177003139,1.096775904665309,28.46230200118496,0.39070679144811465,262.895671089563,2.440153175373494,8.526300499147123,5.954366283721335,72.70287171725079,69114.13387763168,-0.0006421861289163316,0.005050318037640701,0.004313166302112416,0.0073052247070666924,0.022562360054683664,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.591811530549157e-05,,,,,,
12.0,2.5430026241145594e-05,9.162955551672558,1.9746355166136688e-10,0.04453970507210047,0.9973294208105338,7.97524173722179,0.3907042632985088,111.432833487928,2.3479949891011795,5.608016512153199,5.513090879198033,31.449869007464997,12417.276379148287,-0.000692629677840414,0.004995026563545011,0.003926694682949187,0.006617697310644755,0.023311596495620653,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5430026241145594e-05,,,,,,
13.0,2.537994097259951e-05,9.162926410147652,2.3123105897870101e-10,0.04453870624468055,0.9972437275267612,5.832735665990647,0.39076032803806543,69.69258100932277,2.5293243461632553,6.153413364607391,6.397482256115314,37.864662870199744,4857.055847741016,-0.0005076012419827861,0.005012213278755908,0.004241463155379393,0.007526892624843836,0.02360983026565177,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.537994097259951e-05,,,,,,
14.0,2.3741545931909148e-05,9.162901084463288,2.3679440991392443e-10,0.04453792379839558,0.9474445165868556,3.7621678418289948,0.3906829685840666,46.11557659947397,2.3816699757847073,6.337103904049184,5.672352236911243,40.158889358450864,2126.646405101951,-0.0005659663653883323,0.004839548326565018,0.004181211390955184,0.007914224171420927,0.032801060342032964,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3741545931909148e-05,,,,,,
