iter,td_loss,critic_teacher_error,tracking_gap,mean_rho2,w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv
0,2.500102025332649e-05,0.044552625510051444,1.585678590298169e-15,0.42447553895329554,9.163369275853684,nan,nan,0.0,nan,nan,nan,nan,nan
1,2.5317021197059575e-05,0.04455248831713099,4.881184443991506e-15,0.4263093474284747,9.163366786167302,nan,nan,0.0,nan,nan,nan,nan,nan
2,2.5413943656478407e-05,0.04455235986707006,8.558763450486835e-15,0.42722876908141216,9.163364560242432,nan,nan,0.0,nan,nan,nan,nan,nan
3,2.3859150641360744e-05,0.04455223251692855,1.487883860669872e-14,0.4249802655642833,9.163362100331012,nan,nan,0.0,nan,nan,nan,nan,nan
4,2.4652085282866378e-05,0.04455210052524472,2.3383634171191446e-14,0.432162429635366,9.163359434959798,nan,nan,0.0,nan,nan,nan,nan,nan
5,2.602278696434989e-05,0.04455196741167269,3.05216917822899e-14,0.4310200117866303,9.16335676819234,nan,nan,0.0,nan,nan,nan,nan,nan
6,2.594678908264824e-05,0.04455183358936943,4.112432810406669e-14,0.4270575772975025,9.16335415271131,nan,nan,0.0,nan,nan,nan,nan,nan
7,2.402228624663873e-05,0.0445517096098987,5.3235662076980386e-14,0.4214353929570562,9.163351700504222,nan,nan,0.0,nan,nan,nan,nan,nan
8,2.4789451709978093e-05,0.0445515854473538,6.288149238928282e-14,0.426091164069406,9.163349459353,nan,nan,0.0,nan,nan,nan,nan,nan
9,2.6472529741802396e-05,0.044551446341827054,8.132079932125185e-14,0.43151101461119723,9.16334657815317,nan,nan,0.0,nan,nan,nan,nan,nan
10,2.153928818666079e-05,0.044551331220841296,1.1194078756652063e-13,0.42799210562930023,9.163344547534098,nan,nan,0.0,nan,nan,nan,nan,nan
11,2.5419114164946985e-05,0.0445511879111494,1.215539252509028e-13,0.42545074123284066,9.163341713889018,nan,nan,0.0,nan,nan,nan,nan,nan
12,2.6492789818327504e-05,0.044551048349358,1.5984739312865562e-13,0.42431037976900393,9.163339201299655,nan,nan,0.0,nan,nan,nan,nan,nan
13,2.461472501863992e-05,0.0445509156575649,1.808038729020062e-13,0.4317391309968795,9.163336611920645,nan,nan,0.0,nan,nan,nan,nan,nan
14,2.390681804329198e-05,0.04455078882415876,2.0783998062257267e-13,0.4190994352915206,9.163334294676117,nan,nan,0.0,nan,nan,nan,nan,nan
15,2.4256231984602937e-05,0.044550657607121555,2.284974759471177e-13,0.42975859899633223,9.163332017336435,nan,nan,0.0,nan,nan,nan,nan,nan
16,2.6996980540403274e-05,0.04455051932010014,2.375541951509286e-13,0.4235424978907061,9.163329793885056,nan,nan,0.0,nan,nan,nan,nan,nan
17,2.622465038967897e-05,0.04455037843700717,2.5584832854642904e-13,0.42888525939421895,9.16332643272149,nan,nan,0.0,nan,nan,nan,nan,nan
18,2.4013558259646297e-05,0.04455025086324428,2.8633699645577715e-13,0.43035922204942767,9.163324117564894,nan,nan,0.0,nan,nan,nan,nan,nan
19,2.4693233050098922e-05,0.04455011837934324,2.9910847340221745e-13,0.427447210181522,9.163321676159336,0.1971046037312429,0.0,0.0,0.9999997160736831,0.02147281622574615,0.49078587901276194,0.619992741508915,0.33370639021667986
20,2.5308726499517513e-05,0.044549988717945736,3.1826304542020114e-13,0.42411855710406654,9.16331880227068,nan,nan,0.0,nan,nan,nan,nan,nan
21,2.8194092533021174e-05,0.044549850526849274,3.2632739925431127e-13,0.42597188702433786,9.163316334554949,nan,nan,0.0,nan,nan,nan,nan,nan
22,2.3209149865881665e-05,0.04454972552155697,3.648115523410613e-13,0.4300358032728262,9.163314045351276,nan,nan,0.0,nan,nan,nan,nan,nan
23,2.5696544733243748e-05,0.04454959354214068,4.063605085941538e-13,0.424284892568288,9.163311189063826,nan,nan,0.0,nan,nan,nan,nan,nan
24,2.495942742620245e-05,0.04454945666163481,4.3231717645186763e-13,0.43094712341411406,9.163308095847977,nan,nan,0.0,nan,nan,nan,nan,nan
25,2.634434316014586e-05,0.04454931888616269,4.4380392612310254e-13,0.42814623396648216,9.163305318041942,nan,nan,0.0,nan,nan,nan,nan,nan
26,2.510992692506722e-05,0.04454919123196105,4.697621148832811e-13,0.42729762317842657,9.163302686478794,nan,nan,0.0,nan,nan,nan,nan,nan
27,2.358625999227019e-05,0.0445490688274298,4.898395071183393e-13,0.423915794612294,9.163299789354896,nan,nan,0.0,nan,nan,nan,nan,nan
28,2.3613319562644066e-05,0.04454894836583963,5.303919615530799e-13,0.42889421147759293,9.163297689780807,nan,nan,0.0,nan,nan,nan,nan,nan
29,2.4619919565397724e-05,0.044548818637316516,5.61863532972329e-13,0.4265594053799214,9.163295282117959,nan,nan,0.0,nan,nan,nan,nan,nan
30,2.5405952872502963e-05,0.04454867781224384,5.90948067639207e-13,0.42931313247740127,9.163292257774895,nan,nan,0.0,nan,nan,nan,nan,nan
31,2.5114705432122686e-05,0.04454854042295183,5.925630584774589e-13,0.42871734240052134,9.163289446832557,nan,nan,0.0,nan,nan,nan,nan,nan
32,2.4547404009851345e-05,0.04454841074336694,6.277057859788572e-13,0.436512184604791,9.163287002524523,nan,nan,0.0,nan,nan,nan,nan,nan
33,2.4297062789051324e-05,0.044548272685356376,6.666363657235441e-13,0.4309541960923849,9.163284737221232,nan,nan,0.0,nan,nan,nan,nan,nan
