iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.012445747498749382,2.3350866200450215,0.3306415615278038,4096,0.6199927415085643,0.3338472119312925,64,0.6310801321456526,0.42853605296327324,0.3906476373767454,0.9314995965669938,0.8769407062363178,0.9011324386196534,10.0,0.0
9,0.017417191182320657,2.339678044847076,0.41876484378353285,4096,0.6199927415086344,0.33385303980707026,64,0.6292928294336442,0.4256962069240363,0.3906306035538644,0.9458249375362681,0.879958314371084,0.9069954322037568,10.0,0.0
10,0.022542920043524317,2.3093229742725714,0.5152127334242057,4096,0.6199927415086681,0.33332763009155775,64,0.6294554572234683,0.4262799989342041,0.39068012532277835,0.9516651086878289,0.8807332145815222,0.9054178267164286,10.0,0.0
15,0.024657107794044064,2.345557661796615,0.5467873298974832,4096,0.6199927415088269,0.33345730210525704,64,0.6280636986101397,0.424565146679755,0.3908147170113726,0.9513180966086459,0.8771178176172038,0.9017816624324374,10.0,0.0
19,0.021472816225747815,2.3291603476628344,0.49078587901276194,4096,0.619992741508915,0.33370639021667986,64,0.6296535809649386,0.42628891370137967,0.3906440216015307,0.931737047133349,0.8764213669054952,0.9015691178249278,10.0,0.0
20,0.02530162451214024,2.3309231752069524,0.5509760304513439,4096,0.6199927415089422,0.3337765339071326,64,0.6329683792900451,0.43058825443828447,0.3906340479068645,0.9386117154579995,0.8797321872485568,0.9062870326882785,10.0,0.0
25,0.06194866710145541,2.369403814800894,0.9257698551972332,4096,0.619992741509032,0.3334136000585103,64,0.6335147428053869,0.4313592521820483,0.39063541829891363,0.9433534690386146,0.8805978887324789,0.9062360994356362,10.0,0.0
29,0.04948094764203459,2.352033014971022,0.8227091935915931,4096,0.6199927415092291,0.3332046231008881,64,0.6297946836039897,0.4265673577724912,0.3906424731315623,0.9561354925649928,0.8802774704843858,0.9037876146531675,10.0,0.0
30,0.027543947304614957,2.3549882989997695,0.581834862586578,4096,0.6199927415093074,0.3336355602565914,64,0.6304622043962704,0.4270340997099369,0.3906499957444369,0.9496888504365771,0.8770918751239131,0.9018161612088709,10.0,0.0
35,0.030811820175310478,2.316210668320596,0.6015258324638975,4096,0.6199927415095293,0.33364449806158303,64,0.6338216763117674,0.43212172665399556,0.39072934906524587,0.9384995537917914,0.8790334548187277,0.9031187605862105,10.0,0.0
39,0.0518114180697532,2.339905979801628,0.8016013035482459,4096,0.6199927415094226,0.33380060084292,64,0.6258722782534127,0.42222692297813824,0.3906625232008466,0.9449329478619684,0.8812480346572011,0.9045474468554264,10.0,0.0
40,0.011041576076272985,2.352360299892158,0.26463980528514863,4096,0.6199927415095852,0.333263483161495,64,0.6324929808421972,0.4298246776816769,0.39069686523808905,0.96128565221315,0.8811680459473219,0.9051376153369034,10.0,0.0
45,0.012534675554618957,2.3356531049497224,0.26449768563783,4096,0.6199927415098573,0.333753526713757,64,0.6317189593973608,0.4295384551885366,0.39072154993123487,0.9524914298333995,0.8823728736114105,0.9073802919713514,10.0,0.0
49,0.019107007932303466,2.353168736877144,0.4463789235228865,4096,0.6199927415102207,0.33311664279755737,64,0.635304480449429,0.43321881174180177,0.3907302719619416,0.9307545499063737,0.8795269002987989,0.9045990436480358,10.0,0.0
50,0.02721109249984177,2.328221140092828,0.5987968478182769,4096,0.6199927415102275,0.3335122408855578,64,0.6264229877259568,0.4221868427614227,0.39067034283602886,0.9388111079616602,0.881999131094008,0.9090924493016976,10.0,0.0
55,0.03473024638161237,2.3453349972160837,0.6612467634483932,4096,0.6199927415108444,0.3335723416271291,64,0.6296948244789189,0.42675163041365893,0.3906727991290025,0.9524904129427149,0.8835831095023926,0.9078079193123308,10.0,0.0
59,0.02546540604835068,2.3585040436564833,0.5455555034018816,4096,0.6199927415109976,0.33370905008836144,64,0.6289267458508554,0.4248839484541164,0.3907189042589974,0.9408521644963516,0.8796738993536716,0.9083351526528199,10.0,0.0
60,0.020073875658816687,2.3380692168470296,0.4928538879820824,4096,0.6199927415111026,0.3331344712474903,64,0.6324586684673044,0.43009387136292954,0.39065793438164265,0.9555450844077634,0.8822939662372526,0.9074746404055817,10.0,0.0
65,0.025720314163018343,2.322589424556652,0.5360199158898352,4096,0.6199927415110975,0.33368079653498756,64,0.6279933513344358,0.424409543572534,0.390634079853206,0.9556056449204725,0.8799044037445078,0.9116456641839693,10.0,0.0
69,0.018973529736642347,2.3510966587912954,0.39791586622975655,4096,0.6199927415117423,0.33387437158175604,64,0.6297769353039824,0.4272201120428412,0.39065189176372395,0.9493563597408932,0.8788968096036854,0.9070150974427494,10.0,0.0
70,0.034519717288575724,2.3501241059376294,0.672324075002096,4096,0.6199927415119827,0.3339591682359858,64,0.6303957974573747,0.4274813915701786,0.3906963075095802,0.9399387841085742,0.8790300246286976,0.9045750612984915,10.0,0.0
75,0.037324427697201346,2.358826643498656,0.6652459594308409,4096,0.6199927415117215,0.33351049118907,64,0.6316376135177083,0.4288705234048772,0.39063437292328435,0.952709436335117,0.880061669273912,0.9059442436766175,10.0,0.0
79,0.03142677003396299,2.3717398554798477,0.6243499535824257,4096,0.6199927415122675,0.33376523308609507,64,0.6318614859611267,0.42965719697445803,0.39067438468947296,0.9445937061492398,0.8805419147564099,0.9046562088558132,10.0,0.0
