iter,td_loss,critic_teacher_error,tracking_gap,mean_rho2,w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv
0,3.9874858102734524e-05,0.02238589076269836,1.7045843581273991e-34,1.77998782662024,1.5482714919684342,0.024988697368814428,0.0,0.0,0.9999913415688266,0.05278545895675513,0.7840519994032467,0.255374660660773,0.28815979895243227
1,0.0001023249789170584,0.022384662169519145,2.058643256595072e-34,1.4294663970661148,1.548266876507248,0.02680930707890348,0.019816430091339574,1.0,0.9999904661514252,0.04284736726642202,0.6684174386189262,0.255374660660773,0.2998755507198948
2,8.443227936559631e-05,0.022383803054759316,2.058643256595072e-34,1.7603768989607473,1.5482623907820892,0.016023719837537708,0.021203625298251556,1.0,0.9999895647228351,0.041470821857724216,0.6841044383315681,0.255374660660773,0.2866195469351198
3,5.6247136297430053e-05,0.022382824489762886,2.058643256595072e-34,1.5848387996284423,1.5482549088065858,0.020925461454292606,0.017799528865709978,1.0,0.9999916150483005,0.030903413530691703,0.5225393280032788,0.255374660660773,0.29744127038868484
4,0.00015153027026911734,0.022380879533493984,2.058643256595072e-34,1.480000678331054,1.5482396714326339,0.021609671234043917,0.017212841740933394,1.0,0.9999917340584825,0.018054739395543917,0.3204931453720982,0.255374660660773,0.2931606232476981
