iter,td_loss,w_norm,tracking_gap,teacher_error,mean_rho,mean_rho2,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,delta_mean,delta_std,delta_p95,delta_p99,delta_max,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,tol,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
0.0,1.817276970917235e-05,4.581680301090807,4.7200257052207744e-14,0.013945478319103167,1.00347507941695,1.0815533003485793,0.0696958002442007,1.3609692397155284,1.341099057199669,1.3570660479006915,1.7985466815329205,1.8416282585548438,1.8522372714518633,-0.001003333319913481,0.004143198276491694,0.0024197750218165294,0.004369873074138372,0.02423327973469177,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.817276970917235e-05,,,,,,
1.0,1.8048091045436842e-05,4.581675802692036,1.0763565139894072e-13,0.013945247782961592,0.9997962632302645,1.075490544390376,0.05680275972468911,1.3611109032718585,1.3310936502149058,1.355584333038318,1.7718103080652383,1.837608885305705,1.8526228910055345,-0.0010382573712001012,0.004119479660902028,0.0025707001056810954,0.0042744328778664105,0.023766657124349472,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8048091045436842e-05,,,,,,
2.0,1.895678418423287e-05,4.581669708536172,1.5763418604232462e-13,0.013944995129784393,1.0002685379221576,1.0755161683230046,0.03685942286220852,1.3608264363787317,1.336507422902513,1.3564444478039634,1.7862521029583505,1.8399415402408106,1.8518485899472383,-0.001128348409809947,0.004205188943473554,0.0022848397130141767,0.004219265286635734,0.01901876853495414,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.895678418423287e-05,,,,,,
3.0,1.741838040073307e-05,4.581665919318036,2.560113126363785e-13,0.013944772540993912,1.0043898480353297,1.0836493000491147,0.047583868703894694,1.3610322693515258,1.3386471765510983,1.3562504461557443,1.7919762658541925,1.8394152727051292,1.852408838216164,-0.0010947084868261564,0.0040274053346545415,0.0023201938251095414,0.004245320447475258,0.022747924706936755,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.741838040073307e-05,,,,,,
4.0,1.8965911273215777e-05,4.581660179310869,3.3348109748863224e-13,0.013944524949686546,0.9954349572447652,1.067272705135695,0.06839080566813499,1.3609203076705145,1.3358913877426666,1.3563317676822548,1.7846057998451068,1.839635864106776,1.852104083830008,-0.0009957167927655357,0.004239629623188857,0.0024313145548551063,0.00448088218694647,0.024441497743331278,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8965911273215777e-05,,,,,,
5.0,1.96135010305553e-05,4.581655789638681,5.157905091165638e-13,0.01394427614489625,0.9953378183918992,1.067518056665198,0.03993353570643882,1.3608309734092507,1.3305829605850965,1.3541252578699114,1.770451015403996,1.833655214004463,1.8518609381899689,-0.001152458360620677,0.004276136194930045,0.0023032514213150936,0.004379988500816025,0.024481613688588703,0.9999391898016046,0.9999391898016046,7.771566736236964e-06,20.0,4096.0,0.0001,0.9991435301170102,1.074110944515632,0.07006227864597551,1.3610643756535215,1.3362482436246932,1.3567208932848527,10.0,1.0,0.09802657009656482,0.0,0.0,nan,2000.0,1e-07,0.004019309422889639,2.3625790301649827,0.19113053648203987,4096.0,0.042995237205843514,0.11281145654561481,64.0,1.96135010305553e-05,8.84320638454934e-06,1.0770294646005962e-05,0.5491265750682264,8.0,200.0,200.0
6.0,1.760095120637622e-05,4.581650297753563,6.636690862818365e-13,0.013944045685540023,0.9984846063449399,1.071824124734559,0.036816835849209396,1.3609151672747652,1.3366533369451914,1.3564028937290789,1.786642143456384,1.8398288102237177,1.8520900925185022,-0.0010953350312411189,0.004049838561685174,0.0023425181527257405,0.0043530088801078575,0.021927107175823985,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.760095120637622e-05,,,,,,
7.0,1.7214829039541283e-05,4.581644722447728,8.28796111566797e-13,0.013943820510753721,1.0058599529254133,1.086334106738173,0.078450212259638,1.3610616172876517,1.3379528719435871,1.355311816250936,1.7901178887450864,1.8368701194009915,1.8524887260536782,-0.0009703649031633494,0.0040340080557988555,0.002498541916687686,0.004300081717701947,0.02100287462293242,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7214829039541283e-05,,,,,,
8.0,1.864811523012686e-05,4.58164018239784,1.1440896496651712e-12,0.01394357346029299,1.0022252034958867,1.0798957872724428,0.02537877292477187,1.361054282921677,1.336175474123158,1.3559777325404103,1.785364900576918,1.8386756111582516,1.8524687610594404,-0.0010620561458966258,0.004185708061139724,0.0023631529846369005,0.004007350530252246,0.0266375255073129,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.864811523012686e-05,,,,,,
9.0,1.7549369263203146e-05,4.581634942205373,1.2481644824092647e-12,0.013943333514995066,0.9997685729657205,1.0720699617100222,0.06250650725627799,1.361066372115112,1.337862298749428,1.3573843660339882,1.7898755304827927,1.8424923224699772,1.8525016693025924,-0.00099242391199689,0.004069946442166032,0.0024433972379574813,0.0046166853201765196,0.022756417295530493,0.9999390509014655,0.9999390509014655,3.4809914849088115e-06,20.0,4096.0,0.0001,1.0041390172338969,1.0805171040838761,0.06344978368208373,1.36109954937346,1.3331782603176763,1.353923496999499,10.0,1.0,0.09944211729575693,0.019034478983348924,1.0,nan,2000.0,1e-07,0.008050672498000955,2.353579907181435,0.24294836520701096,4096.0,0.042995237206365916,0.11295739853514943,64.0,1.7549369263203146e-05,8.848627308817315e-06,8.70074195438583e-06,0.49578659061150515,8.0,200.0,200.0
