iter,td_loss,w_norm,tracking_gap,teacher_error,mean_rho,mean_rho2,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,delta_mean,delta_std,delta_p95,delta_p99,delta_max,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,tol,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
0.0,1.6876009653772745e-05,4.581684736336919,1.9283442957685904e-15,0.013945648507783553,1.148940084434135,1.3292884311371882,1.0568739540313805,1.3609692397155284,1.341099057199669,1.3570660479006915,1.7985466815329205,1.8416282585548438,1.8522372714518633,-0.0006298697526571579,0.00405946717543822,0.0024857203835220152,0.004499012213612612,0.024295351884987472,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6876009653772745e-05,,,,,,
1.0,1.6484831476611724e-05,4.581683424776886,4.4811704498618114e-15,0.013945584725188675,1.1478500444897635,1.3263085090639997,1.0572451599491985,1.3611109035011648,1.3310937295778498,1.3555843585459442,1.771810519341184,1.8376089544613394,1.8526228916297571,-0.0006281647663739246,0.004011264202579795,0.002447753370378624,0.004407346642730381,0.02105944410617505,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6484831476611724e-05,,,,,,
2.0,1.878726527579718e-05,4.581681886927979,6.773374259017907e-15,0.01394551070537704,1.148138650386468,1.327224610920902,1.0561682624866564,1.360826432839152,1.3365076076562303,1.3564444375845914,1.7862525968011684,1.8399415125166476,1.851848580313731,-0.0008242321027519865,0.004255338613622918,0.002498346510741042,0.004338212286076202,0.02299996790467391,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.878726527579718e-05,,,,,,
3.0,1.6094331978760344e-05,4.5816808655300045,1.3884151113162523e-14,0.013945448004147449,1.1499787839131759,1.331701348967571,1.057894925280703,1.3610322799961982,1.3386469855478067,1.3562505166737289,1.7919757544806323,1.8394154639852383,1.8524088671916499,-0.0007665292232109134,0.00393786299009044,0.0025212235693020052,0.0041365118588881505,0.02365563696069157,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6094331978760344e-05,,,,,,
4.0,1.700643459355786e-05,4.58167999734236,1.8892869898700967e-14,0.013945381985354593,1.147659234936518,1.326282655382278,1.0586555416208492,1.3609203189847718,1.3358911330408472,1.3563316611919172,1.784605119337294,1.8396355752347253,1.8521041146256132,-0.0007251082091579253,0.004059637013153965,0.0025510924139060015,0.00434252067724791,0.025007326446803077,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700643459355786e-05,,,,,,
5.0,1.812143227309837e-05,4.581678976126747,2.0820116067157724e-14,0.01394531133448227,1.1472385365365343,1.3248500777620142,1.0551436999445378,1.3608309610284255,1.330583116588848,1.3541252870162257,1.770451430556351,1.8336552929400511,1.8518609044935481,-0.000740441721854423,0.00419203749143965,0.0024783934505296745,0.004419521977212463,0.02484129175765519,0.9999857059541961,0.9999857059541961,1.6463722767948896e-06,20.0,4096.0,2.5e-05,1.1487546784601863,1.3287919895266198,1.0576204852482027,1.361064369945724,1.336247892387577,1.3567211227476834,10.0,1.0,0.1021399731097444,0.0,0.0,nan,2000.0,1e-07,0.005939713324005447,2.3539040490833747,0.24938052603657052,4096.0,0.042995237205547175,0.11281145562084752,64.0,1.812143227309837e-05,8.088937772125147e-06,1.0032494500973223e-05,0.5536259137676807,8.0,200.0,200.0
6.0,1.6101506591435048e-05,4.581677663425909,2.3658964559889847e-14,0.01394524766030902,1.1464179228689426,1.3230841016764328,1.0570408925267494,1.360915191798394,1.3366536678710823,1.3564028938290438,1.7866430281240917,1.8398288104950808,1.8520901592676593,-0.0006970341171426725,0.003951664210301045,0.002505679211765402,0.004862411711976137,0.022193414265501362,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6101506591435048e-05,,,,,,
7.0,1.5692956504403444e-05,4.581676325014985,2.791856075708177e-14,0.013945185496135807,1.1488990446522296,1.3289913681944032,1.0594414366513991,1.3610615984761976,1.3379528854115095,1.3553117690654073,1.7901179247800645,1.8368699914989006,1.852488674846582,-0.0008158427721184452,0.003876513520624626,0.0023572798209816875,0.0039009149448707404,0.009261415964204676,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5692956504403444e-05,,,,,,
8.0,1.6622760884622023e-05,4.581675102935091,3.381864504513008e-14,0.013945119623725967,1.1484663903346675,1.3278964045073434,1.057356711254146,1.3610542803084182,1.3361753929681848,1.3559776915290116,1.7853646837123949,1.8386754999370298,1.8524687539458664,-0.0007738120900219025,0.004002995844858942,0.002343676506859839,0.0042408002770266484,0.01997717829432607,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6622760884622023e-05,,,,,,
9.0,1.5430827375421677e-05,4.581673773775801,3.600084808971233e-14,0.01394505843162628,1.1460149658482488,1.322486954536184,1.056077225509284,1.3610663909497596,1.3378630792070083,1.357384243147381,1.7898776187704728,1.8424919888603413,1.8525017205730037,-0.0007737578287315462,0.003851249952664501,0.0024357776555247565,0.004182673509992946,0.021099144548225677,0.9999847595960374,0.9999847595960374,1.4058990733702225e-06,20.0,4096.0,2.5e-05,1.1476974312705703,1.3260164945718547,1.0570760889761064,1.3610995409452982,1.333178081830154,1.3539238821453967,10.0,1.0,0.0941893131569398,0.022077442811148738,1.0,nan,2000.0,1e-07,0.009514660752081072,2.355943920482987,0.30640452656733047,4096.0,0.042995237205554884,0.11295739984207054,64.0,1.5430827375421677e-05,7.530687990391154e-06,7.900139385030523e-06,0.5119712114474119,8.0,200.0,200.0
