iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.02283669369972368,0.0,0.0,False,2000,4096,1e-07,0.8735535566421343,2.0450992437785485,0.3402863926010699,10.0,2.4055841039209422,6.899347913529683,10.0,1.0
9,0.020624158152564603,0.006154713416969822,1.0,False,2000,4096,1e-07,0.9078139936293391,2.264303462668763,0.3402870714156446,10.0,2.5469482474640808,8.16699101989889,10.0,1.0
10,0.017992607730771874,0.005808136581118743,1.0,False,2000,4096,1e-07,0.8657181929540759,2.0261873920231412,0.34034437427264996,10.0,2.279870962920315,7.565406292771374,10.0,1.0
15,0.024145965873481497,0.00848034077961849,1.0,False,2000,4096,1e-07,0.8752370109133885,1.9926221627426102,0.34032127625579295,10.0,2.4554071256597987,6.461274364491831,10.0,1.0
19,0.019557867171090204,0.007766738141757641,1.0,False,2000,4096,1e-07,0.9019742140216015,2.2722065105093425,0.34028293188969244,10.0,2.467576923740901,8.204667293779021,10.0,1.0
20,0.019015675218523983,0.005472385368802101,1.0,False,2000,4096,1e-07,0.9006466893090651,2.2674837458972883,0.3403129457443589,10.0,2.5902364034597314,8.150139811197661,10.0,1.0
25,0.020837059570992526,0.005768122210486304,1.0,False,2000,4096,1e-07,0.9159381566374363,2.4190511838347,0.3403318762849121,10.0,2.515806499929517,9.132376528456424,10.0,1.0
29,0.019870274049455496,0.005527659644899803,1.0,False,2000,4096,1e-07,0.8643113360923117,1.939014258420646,0.34034433112115403,10.0,2.407244655635106,6.199972112252594,10.0,1.0
30,0.022094699461621313,0.006521489662773838,1.0,False,2000,4096,1e-07,0.8784018255292976,2.0039047214712378,0.34029434471321435,10.0,2.420500028799731,6.640073384673991,10.0,1.0
35,0.018183391200286145,0.006932394050396268,1.0,False,2000,4096,1e-07,0.8830455369850452,2.148658571708531,0.34039141512194465,10.0,2.404816409597082,7.702060941797698,10.0,1.0
39,0.022286779873750634,0.007039376714842366,1.0,False,2000,4096,1e-07,0.8859726237723087,2.1082863384115393,0.34029815656820317,10.0,2.4140725232561318,7.023817837093385,10.0,1.0
40,0.027938817669208197,0.008840150410178469,1.0,False,2000,4096,1e-07,0.8969365824376079,2.1382324902995373,0.3404076604147479,10.0,2.6092868628907864,7.161082562985301,10.0,1.0
45,0.02192404573986693,0.0092864961026684,1.0,False,2000,4096,1e-07,0.8970274956917799,2.1290317611624023,0.34029609730335647,10.0,2.580054384856559,6.870097472671944,10.0,1.0
49,0.018339539587935307,0.006721797083582767,1.0,False,2000,4096,1e-07,0.888806905111813,2.016195360539332,0.34034869590131794,10.0,2.521287360664923,6.385209725272136,10.0,1.0
50,0.024721558975279886,0.008552641629268819,1.0,False,2000,4096,1e-07,0.8964242356993509,2.100929687993121,0.34046085434475354,10.0,2.521980652899911,7.006549334137634,10.0,1.0
55,0.02060965654122129,0.0073233454051567365,1.0,False,2000,4096,1e-07,0.857268177517245,1.8044337243082367,0.3403259874367642,10.0,2.393227172253888,5.648416043539628,10.0,1.0
59,0.0241608393422536,0.007412898084973485,1.0,False,2000,4096,1e-07,0.9100906416003716,2.2554755883035185,0.3404123000279591,10.0,2.544582566562074,7.702699600441216,10.0,1.0
60,0.020459716335070016,0.007052993972248576,1.0,False,2000,4096,1e-07,0.8865515616176962,2.1163635461170935,0.3402834280752491,10.0,2.453683511810849,7.1823095447398995,10.0,1.0
65,0.02026903573818406,0.00544911730751242,1.0,False,2000,4096,1e-07,0.8698751614178318,2.078381947504309,0.34048121617182514,10.0,2.329413660667765,7.563528021761579,10.0,1.0
69,0.02055569034330316,0.005229502034509613,1.0,False,2000,4096,1e-07,0.8909872309641292,2.168427807787385,0.3403239485177614,10.0,2.4182738199167217,7.614547780021832,10.0,1.0
70,0.025916902576555045,0.008365555884677866,1.0,False,2000,4096,1e-07,0.8882115970014675,2.0313623812445494,0.3402921147318715,10.0,2.429291730277513,6.662344482466625,10.0,1.0
