iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples
5,0.005939713324005447,2.3539040490833747,0.24938052603657052,4096,0.042995237205547175,0.11281145562084752,64
9,0.009514660752081072,2.355943920482987,0.30640452656733047,4096,0.042995237205554884,0.11295739984207054,64
10,0.00528735084674925,2.3606014670416915,0.2163234803374547,4096,0.04299523720556102,0.1128869454049447,64
15,0.0068863012004197754,2.3727322007614777,0.25301998987445923,4096,0.042995237205585124,0.1129119583018863,64
19,0.005691862000603676,2.3773870881697263,0.20474253760561203,4096,0.04299523720558607,0.11341176150095403,64
20,0.004775291075285182,2.3499535780471072,0.20137498501514817,4096,0.0429952372055923,0.11301335660957207,64
25,0.007632872750703346,2.366183586812298,0.27207342414075925,4096,0.04299523720560469,0.11248115469340944,64
29,0.0064168916654198105,2.36580186685202,0.23794094071807134,4096,0.042995237205629686,0.1127980753465394,64
30,0.008293626382327113,2.349009131444877,0.30030475733158496,4096,0.04299523720564265,0.11293281213931389,64
35,0.004334121356328158,2.350113515349211,0.2035125840674405,4096,0.04299523720563745,0.11292898339467644,64
39,0.0048519494990673095,2.3628546867738467,0.21133195694668697,4096,0.04299523720563521,0.11277339313661242,64
40,0.009509859870835635,2.347761140805123,0.316940013817656,4096,0.042995237205638234,0.11295366398815468,64
45,0.005448399336982823,2.345128111779127,0.22884154273021992,4096,0.04299523720564441,0.112794872823009,64
49,0.008801590869220277,2.3601655677194415,0.31554951110716606,4096,0.04299523720565431,0.11295117615864926,64
50,0.005946976445549312,2.3569403596097738,0.24929698677310308,4096,0.042995237205653764,0.11290492820699335,64
55,0.015316255565985593,2.3593715065424865,0.43774181603647283,4096,0.04299523720567408,0.11294601491973878,64
59,0.005886906420611515,2.3554390334593807,0.24232506085417743,4096,0.042995237205658524,0.11319327165153475,64
60,0.003479921785121687,2.3555971236001585,0.15905098162033487,4096,0.04299523720566993,0.11278413033071104,64
65,0.008613836343344006,2.369052878248473,0.3202349421442193,4096,0.042995237205703106,0.11248832941267953,64
69,0.004720422941506652,2.3655475954997565,0.21504351508249578,4096,0.042995237205684635,0.11271076065616427,64
70,0.0049907227954046895,2.361573705195933,0.19517142628472128,4096,0.042995237205700615,0.11321256800448118,64
75,0.006990629027757822,2.3599942256367457,0.2768192641387452,4096,0.042995237205683504,0.11290444844333306,64
79,0.008350152252249332,2.36959159790415,0.29963937644179345,4096,0.0429952372056812,0.11330292856539333,64
80,0.0067642832920729035,2.353145593770292,0.2556448407618562,4096,0.04299523720567107,0.1130789404757933,64
85,0.008916591047716804,2.3649455437900575,0.318516648332496,4096,0.04299523720566073,0.11279911884779831,64
89,0.0065980629514375,2.358818388842197,0.23371261806072963,4096,0.042995237205655894,0.11299311464098424,64
94,0.008810466260662175,2.358303148026728,0.32168357244957413,4096,0.042995237205677925,0.11322499919741986,64
99,0.004925339716235988,2.3587269083708695,0.17852411632125903,4096,0.042995237205669154,0.11281748229781216,64
100,0.007779073296241723,2.3652459460967385,0.27781988337651553,4096,0.04299523720566602,0.1129118568559409,64
105,0.007721512489063387,2.350553225641919,0.2860258588623574,4096,0.04299523720567815,0.11289242013895746,64
109,0.015047586874428531,2.355213277009497,0.4346071219703423,4096,0.042995237205660314,0.11324997030883499,64
110,0.008593691100774459,2.356641499173293,0.29466437050020006,4096,0.042995237205670195,0.11261185722237135,64
115,0.004866203738331465,2.3665440805028393,0.2099215503424601,4096,0.04299523720567007,0.11299114558524342,64
119,0.005377678541436781,2.3583311833015657,0.23330473240229396,4096,0.04299523720568604,0.11286957983172688,64
120,0.016167766829995545,2.3678762859551474,0.45400983233115744,4096,0.042995237205696604,0.11321631564091078,64
125,0.0050382819849739136,2.355784227908528,0.18457789639345087,4096,0.04299523720568145,0.11280992693523233,64
129,0.012017389948360324,2.35654693533811,0.36425161557851155,4096,0.04299523720566467,0.11306664795374066,64
134,0.006365187954977203,2.367527985794715,0.24532800970715057,4096,0.042995237205671,0.11315413197837987,64
139,0.005384593963670192,2.3548335387991015,0.22039588444327218,4096,0.04299523720565343,0.11295845552687725,64
140,0.005132604219220571,2.3663198118662967,0.20942345074671062,4096,0.04299523720566023,0.1127172905160358,64
145,0.005671818721824429,2.3500629626585585,0.21158704788616603,4096,0.042995237205672526,0.11271619252895142,64
149,0.006720263252676051,2.352299432126478,0.2627092500447188,4096,0.04299523720565954,0.11299557565476265,64
150,0.005464242318021895,2.3555172852331085,0.21878636528057335,4096,0.04299523720565499,0.1129065355818383,64
155,0.003189541932569151,2.359056111182677,0.15180700450960083,4096,0.04299523720567765,0.1130786430146116,64
159,0.006751749810295027,2.368587377011402,0.24766446970674974,4096,0.042995237205678036,0.11306023442042934,64
160,0.003650800481639349,2.3583270144427724,0.1782398382790502,4096,0.04299523720569308,0.1128246140154254,64
165,0.007195132215831013,2.3640610410979654,0.2712151830572721,4096,0.04299523720569061,0.11289335760382019,64
169,0.0042182872746219235,2.3581365579895945,0.19088200665321153,4096,0.04299523720566502,0.1127588468758633,64
174,0.006789280047246327,2.353741359418327,0.27096709269823055,4096,0.04299523720567963,0.11260300044806734,64
179,0.006995618006399695,2.3604118508638785,0.28656089855090483,4096,0.04299523720565788,0.1133982198853167,64
180,0.007901828898511098,2.365667686697556,0.2761617330566592,4096,0.04299523720566262,0.11274939319458503,64
185,0.00510224198161946,2.3519542085205303,0.20450578350766577,4096,0.042995237205673845,0.11324456496420666,64
189,0.007215098108464657,2.3557570104376833,0.25918078332407263,4096,0.04299523720566386,0.11307380414701648,64
190,0.00597884069998611,2.3561970545238378,0.26648146345078594,4096,0.04299523720566066,0.11293426690968375,64
195,0.005448158886442012,2.3745834941229553,0.21245657528281514,4096,0.042995237205665095,0.11292164778486041,64
199,0.011841898188341138,2.3714543373903014,0.38173265280397006,4096,0.04299523720568092,0.1130612674621736,64
