iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol
5,0.1021399731097444,0.0,0.0,False,2000,4096,1e-07
9,0.0941893131569398,0.022077442811148738,1.0,False,2000,4096,1e-07
10,0.10025375262219123,0.021282344035860625,1.0,False,2000,4096,1e-07
15,0.10997003617460549,0.024159458237705253,1.0,False,2000,4096,1e-07
19,0.10889135626212995,0.022219696724579577,1.0,False,2000,4096,1e-07
20,0.09504788218300944,0.025929777651129186,1.0,False,2000,4096,1e-07
25,0.10822516835457816,0.025286316403283327,1.0,False,2000,4096,1e-07
29,0.10209987875118198,0.021991969442583217,1.0,False,2000,4096,1e-07
30,0.10461374070726655,0.022630312237327727,1.0,False,2000,4096,1e-07
35,0.09443445121289876,0.0245328684536147,1.0,False,2000,4096,1e-07
39,0.10241987980454667,0.022597348607019344,1.0,False,2000,4096,1e-07
40,0.10556192169621044,0.02414069461094613,1.0,False,2000,4096,1e-07
45,0.10670107919875177,0.02456107819291266,1.0,False,2000,4096,1e-07
49,0.1092260365063264,0.021291898003589438,1.0,False,2000,4096,1e-07
50,0.10072842459231336,0.02264072656592908,1.0,False,2000,4096,1e-07
55,0.09969309867334993,0.01992326882329261,1.0,False,2000,4096,1e-07
59,0.09950868801412194,0.021160164912582706,1.0,False,2000,4096,1e-07
60,0.09811934269855535,0.02197060531223637,1.0,False,2000,4096,1e-07
65,0.10392039015216278,0.02243403716243695,1.0,False,2000,4096,1e-07
69,0.10999040964181529,0.022274796700506437,1.0,False,2000,4096,1e-07
70,0.09969134840166183,0.022522441940834432,1.0,False,2000,4096,1e-07
75,0.10697816602081804,0.021367102617789742,1.0,False,2000,4096,1e-07
79,0.09998914666099008,0.02164370793377826,1.0,False,2000,4096,1e-07
80,0.10904935495672755,0.022122737330721245,1.0,False,2000,4096,1e-07
85,0.11085793860054474,0.02068429696275797,1.0,False,2000,4096,1e-07
89,0.09580437784926667,0.02498942702683053,1.0,False,2000,4096,1e-07
90,0.1035441979911493,0.02449246844495752,1.0,False,2000,4096,1e-07
94,0.11019081066885912,0.0,0.0,False,2000,4096,1e-07
99,0.10256625619735282,0.02414720901461647,1.0,False,2000,4096,1e-07
100,0.0914441102594836,0.023794916502209162,1.0,False,2000,4096,1e-07
105,0.10577601810057967,0.026454658687321046,1.0,False,2000,4096,1e-07
109,0.10848134993917102,0.022821179864706432,1.0,False,2000,4096,1e-07
110,0.10986343731430064,0.023717154774500163,1.0,False,2000,4096,1e-07
115,0.10559066101600431,0.022441752198476876,1.0,False,2000,4096,1e-07
119,0.08886824853122809,0.02918412207911885,1.0,False,2000,4096,1e-07
120,0.11751923111565965,0.037443598455924584,1.0,False,2000,4096,1e-07
125,0.10504787692697196,0.02496804958652305,1.0,False,2000,4096,1e-07
129,0.09949703516824177,0.02274768486496278,1.0,False,2000,4096,1e-07
134,0.11645122929738588,0.0,0.0,False,2000,4096,1e-07
139,0.10339790349127628,0.02523478387640538,1.0,False,2000,4096,1e-07
140,0.09624204365636661,0.021817807356866822,1.0,False,2000,4096,1e-07
145,0.11072342142440203,0.02599914113075976,1.0,False,2000,4096,1e-07
149,0.09604431479722052,0.025382017754716563,1.0,False,2000,4096,1e-07
150,0.10047826435599094,0.021770525590053002,1.0,False,2000,4096,1e-07
155,0.10397260006861829,0.021235269804755375,1.0,False,2000,4096,1e-07
159,0.09323263933202572,0.021722634094607587,1.0,False,2000,4096,1e-07
160,0.09246083906248291,0.02002706667537487,1.0,False,2000,4096,1e-07
165,0.1098772487396185,0.028043973856033313,1.0,False,2000,4096,1e-07
169,0.09933884329531334,0.02519204379435032,1.0,False,2000,4096,1e-07
174,0.09636597473854597,0.0,0.0,False,2000,4096,1e-07
179,0.09704526644792658,0.021849524033832463,1.0,False,2000,4096,1e-07
180,0.11025017425099415,0.0246203655312337,1.0,False,2000,4096,1e-07
185,0.09805102304407816,0.023841924761595155,1.0,False,2000,4096,1e-07
189,0.10262650699493978,0.02138983116869724,1.0,False,2000,4096,1e-07
190,0.10732450233964747,0.021847638562709104,1.0,False,2000,4096,1e-07
195,0.11833840750243313,0.025301718559335898,1.0,False,2000,4096,1e-07
199,0.10128535082631784,0.028310581159853486,1.0,False,2000,4096,1e-07
