iter,td_loss_est,cos_w_wr,w_dot_wr_over_n,w_norm,theta_pi_norm,theta_mu_norm,tracking_gap,mean_rho2,p95_rho2,action_mean,action_var,dist_action_kl
0,0.00011952533685621208,0.020638910826986698,0.00033639774831214705,0.10100733590174044,0.13018704979783427,0.7071067811863785,0.6695870254061862,1.8931188266408496,8.769233734894758,-0.05558385211790238,0.12501431408247965,0.4778946864571053
1,0.00012677414735852208,0.02147732459322352,0.00035008123406580496,0.10101253296453544,0.13020347323266318,0.7071067811863785,0.6695877593346711,1.6557302307783108,7.880228347824757,-0.05372052173183455,0.12914580062552128,0.47156459832484915
2,8.735350687661586e-05,0.02154894924560133,0.0003512345425358634,0.10100845616272495,0.13020328512459764,0.7071067811863785,0.6695872961710991,1.3225451052670452,5.498964384654489,-0.063441754425106,0.11819715181385126,0.4895733836161213
3,8.107788490058225e-05,0.021897965344401034,0.00035692291965166035,0.10100835162523304,0.13020787309004606,0.7071067811863785,0.6695846957190635,2.5756142352946747,9.319739870249025,0.034540730118521074,0.11765202201883218,0.4832988927921516
4,0.00010031647728889162,0.021991243760222212,0.00035847045839433513,0.10101600519472761,0.13020980421926934,0.7071067811863785,0.6695850471069209,1.4229688916617287,6.970570861779006,0.035625311885705224,0.15628356094134763,0.4914249660220452
5,0.00010984794382314496,0.022654737443135575,0.0003693202898280223,0.10102543880475398,0.13021931861812752,0.7071067811863785,0.6695813982036788,2.251874681326909,8.00961764462847,-0.005888068891307084,0.1017664984838885,0.5000786656557082
6,9.378478024358774e-05,0.023068496072448368,0.0003760841623555637,0.10103047010951896,0.13021932656310686,0.7071067811863785,0.6695818294297392,2.132259393978923,9.017876671250129,0.025567008573663542,0.10883336998496193,0.48558810563848837
7,7.818106825049368e-05,0.023406936710238434,0.00038162487171309993,0.10103659494094858,0.13022019862759626,0.7071067811863785,0.6695818875420826,2.1132834195880275,8.407605043192563,-0.03069100381807743,0.11299066029309941,0.4804358739667876
8,0.00014622938609727733,0.023586511560516086,0.0003845410257974864,0.10103354185231644,0.1302219604797608,0.7071067811863785,0.6695866264577609,1.9999205408324632,8.245341893116487,-0.05082499485106906,0.11989612505635283,0.4994298743400086
9,0.0001484604562171857,0.0241721272474206,0.0003941902212270642,0.10105960250112102,0.13022542087639538,0.7071067811863785,0.6695841515205587,1.8762746111785753,8.31276254250294,0.000432149519783126,0.1487867822721039,0.49430141640837166
10,8.878767088376132e-05,0.024392420303493652,0.00039777039345306297,0.10105648103579197,0.13022287078762892,0.7071067811863785,0.6695947216483916,1.4541508303131248,6.795789338783303,-0.024085772749756398,0.14074656007169778,0.48046360582307607
11,7.397805550913364e-05,0.02477425675205467,0.00040403402473602166,0.10106572984580137,0.1302216281757172,0.7071067811863785,0.6695845592020598,1.9678035684923634,8.769321525504534,0.003874372078455191,0.13381543314466848,0.4817442759941693
12,0.00013010568379205845,0.0254562717155781,0.0004151772359513888,0.10107071695251228,0.13022974333467047,0.7071067811863785,0.6695897385524056,2.1500508318479317,8.822952503449702,-0.0009129337895124809,0.12385951229450642,0.49632753218136794
13,7.438890658114176e-05,0.025629675857836726,0.0004180114056752234,0.10107217915017434,0.1302379630875811,0.7071067811863785,0.6696048182902496,1.9458905418716486,8.841569650798798,-0.01422955192926106,0.13289860720866992,0.48173116239560987
14,2.412569720823106e-05,0.025662832320946974,0.0004185421255535564,0.10106975205414521,0.13024188158291866,0.7071067811863785,0.6696018073199825,1.798463569245879,7.948883684965191,-0.017392658071131096,0.13786521481533473,0.4890665031633941
15,5.037859855009169e-05,0.025810721859539587,0.0004209375007195327,0.10106576749820752,0.13024316611933845,0.7071067811863785,0.6696044509104608,2.0784771795515744,8.36198719634458,-0.0032052874379059314,0.12910793067641133,0.4814467887919625
16,5.816644199078798e-05,0.025853048330625194,0.00042160735447234823,0.10106086963517291,0.13024145194570008,0.7071067811863785,0.6696082599722358,2.0875360749368896,7.8195055927426145,-0.0004145539905882605,0.13208958202988197,0.4790255277101671
17,8.50855887451348e-05,0.02600418727386586,0.00042408883481584014,0.10106485675312052,0.13023949330389994,0.7071067811863785,0.6696126401380282,2.1716278699941958,9.00577091359137,-0.02437546669791478,0.10656605788834105,0.4871403982462258
18,7.277661736498882e-05,0.026123651800864144,0.0004260378286905685,0.10106502487595541,0.13024138520386844,0.7071067811863785,0.6696108251256968,1.882720511790784,8.0561318341098,0.0449846061858802,0.1409332290256138,0.4880015688562646
19,0.00012391967788017146,0.02647713186962354,0.0004317983941548968,0.1010640494183206,0.13024057542907025,0.7071067811863785,0.6696240748405351,1.9823568098371918,7.678393759268593,0.0027695277714175027,0.11423043604389908,0.4944289950780924
20,0.00012598677696784027,0.026959602057167475,0.0004396872376760466,0.10106877308586605,0.1302382021585326,0.7071067811863785,0.6696383647881959,1.658564269271828,6.677335780398653,0.030099048831102808,0.131311546081402,0.4966884453992229
21,6.696350284841513e-05,0.027235225261232742,0.00044417532683469233,0.10106716182744734,0.1302402169886611,0.7071067811863785,0.6696429255384865,1.9618478755149882,7.917253396868884,-0.006757587966434561,0.13234300190234366,0.4928904693663638
22,0.00010853657469675972,0.027616047832407405,0.00045040128164170997,0.10107056709084586,0.1302359795444815,0.7071067811863785,0.6696476784354132,2.0917835286792523,8.6235008472665,-0.020557852307592966,0.12703100411223478,0.49651066832155677
23,6.050778146144104e-05,0.02781845502413027,0.0004537027190786565,0.1010706332017818,0.13023715887944856,0.7071067811863785,0.6696597487424852,1.4130018396892212,5.997897786040439,0.0770263383875229,0.13959745907958876,0.4971840939058464
24,6.645505178720059e-05,0.02830643431562425,0.00046173753842338394,0.10108730735865505,0.13023621488557938,0.7071067811863785,0.6696547953333093,2.0715496516134837,9.970568997484081,0.007500217298533205,0.11849789615846515,0.5080611851656932
25,0.00010020402366202533,0.0285510547531524,0.0004657790117177194,0.10109842020976566,0.13023929741792423,0.7071067811863785,0.6696523248160217,2.3282828464185825,8.80142892835468,0.005734650202227878,0.10111568613381444,0.5114487071371036
26,0.00014118163286668242,0.029058617322885717,0.0004740764439153364,0.10110206866159986,0.13024054079103908,0.7071067811863785,0.6696490116708889,1.8503497151982906,7.672480737832572,-0.010336867047056372,0.1269277820193359,0.47428625380027517
27,0.00013702911322402393,0.02931491559847368,0.00047826649707692295,0.10110390320211521,0.130243168593067,0.7071067811863785,0.6696454131306449,1.7884900429614745,8.34783630638836,-0.06971027544430478,0.13395979885031278,0.48536457853573156
28,0.0001081563563171643,0.02961684825758513,0.0004831832406798967,0.10110197351061682,0.13024009644331766,0.7071067811863785,0.669655481576161,1.7228026943828807,7.626434401382672,-0.0017044956084239365,0.12852582627547662,0.48671154615839757
29,8.310831922944804e-05,0.030082078555958052,0.0004908374957705124,0.1011152131591093,0.13024100979631031,0.7071067811863785,0.6696525549962025,2.066837271438998,8.921848889314711,-0.042900428943122265,0.12339698288168777,0.5005378364615998
30,0.00011019748267634848,0.03023117132752109,0.0004932731133372417,0.1011158136138264,0.13024371834424017,0.7071067811863785,0.6696539114813125,1.7314662215461671,7.754030378965586,-0.020403397653216283,0.1449093855829412,0.47641985646242463
31,6.994403503329124e-05,0.030495808687432967,0.000497664642667229,0.1011307535625176,0.1302453427673483,0.7071067811863785,0.6696615326480864,1.7861215402132689,8.758446695782325,-0.017006822564850456,0.14295139889522102,0.501470374558424
32,5.7149690912948765e-05,0.030571525517530476,0.0004988915689727333,0.10112898890665531,0.13024658078115073,0.7071067811863785,0.6696653892479772,1.686507576964374,7.890743173022543,-0.06242145349795575,0.12788799702158343,0.48862149126094323
33,7.564623724182574e-05,0.03071546452045779,0.0005012333117744674,0.10112754159746891,0.13024773490762984,0.7071067811863785,0.6696656897113585,1.7042182825925478,8.181392058745807,0.01543996012018998,0.13208731533088763,0.5085549302166077
34,4.4559118076994584e-05,0.03081247895995973,0.0005028135218358428,0.10112695239842782,0.1302498437999626,0.7071067811863785,0.6696649748452604,2.2498298976482336,9.17362171352365,-0.00634626787296533,0.1188473267118847,0.4914471758137104
35,0.00014938491818277988,0.03108017452493286,0.0005071897414549991,0.10112851338469041,0.1302462299523931,0.7071067811863785,0.6696588510081654,1.5849160640634945,8.019622859222851,-0.0015603646241251646,0.12979782137584717,0.46892886716675036
36,0.00014238033026850173,0.031735226205592736,0.0005179451995273032,0.10114136837465673,0.13024701022276963,0.7071067811863785,0.6696549749241011,2.207911084316349,9.186302280373692,-0.024623196154733924,0.13281253075228278,0.49171985270255486
37,9.859347555573732e-05,0.03189419354718267,0.0005205558435556013,0.10114450929520886,0.13025371858309148,0.7071067811863785,0.669658719164194,1.6153927583460086,8.31183987437783,-0.03230334749430531,0.1271211888385029,0.4845463535111614
38,0.00013204822063853273,0.03246467822876606,0.0005299767680694819,0.10116547865834877,0.13025983730089483,0.7071067811863785,0.6696588078283902,1.5161912706564786,6.89313614347622,-0.024980657944327363,0.14438699350540313,0.46910094320452267
39,8.865737315092127e-05,0.03294814847806616,0.0005378598944728082,0.10116371256487945,0.1302636684775929,0.7071067811863785,0.6696575222177894,1.9921142728654118,8.58533654790952,0.005724486388960748,0.12509727398536594,0.4732443672100807
40,0.00016901025365281193,0.034110558307689144,0.0005570938259142151,0.10121063009244294,0.13026700921953022,0.7071067811863785,0.6696496032218112,2.0535550656133488,7.222487431769426,0.0070476628505002775,0.11476966498639753,0.4903325437669851
41,9.128958076805669e-05,0.03447401192717461,0.0005631821960842126,0.10123803347306791,0.13027016170069183,0.7071067811863785,0.6696448571725543,1.6580349564328458,6.912199301136477,0.010199442763422053,0.1408787104877648,0.48576496330488556
42,0.00014082421478147877,0.03474164799399183,0.0005675422898804429,0.10123587095012417,0.13027229150267755,0.7071067811863785,0.6696441822235704,2.0972001590055918,9.681091738557317,0.036478184154299646,0.12197377000849513,0.4982869291200688
43,0.00016498245443208524,0.035415510889981225,0.0005785440510520719,0.10123473076542619,0.13027297068897162,0.7071067811863785,0.6696724867975435,1.6468537063381428,7.532861070220732,0.026757298498533325,0.13689615005932046,0.507215163708228
44,6.215703241406614e-05,0.03543797549363259,0.0005788829592368336,0.10122982192558634,0.1302706909312391,0.7071067811863785,0.6696771662109673,1.991639191194289,8.00282173256263,0.02172341778378003,0.12288266922166949,0.4751741250447801
45,8.871951610163857e-05,0.035689918835697505,0.0005829762234088616,0.101225957449766,0.13026800749243184,0.7071067811863785,0.6696797462892942,1.8803605905472058,8.964435126268668,-0.008205921279355686,0.11113552108006766,0.48973076937475746
46,8.151512385270885e-05,0.03646044541976614,0.0005955675175640269,0.10122683175757992,0.13027104713539114,0.7071067811863785,0.6696750890200363,2.3634754160149916,8.550872533901186,0.010056435415846419,0.11785511435007835,0.46674643552684164
47,0.00013833191395932484,0.036731652898453954,0.0006000123244345541,0.10122931786317785,0.13026533179218927,0.7071067811863785,0.6696814669308608,1.9486860635573626,7.633485234551714,-0.02166783208746278,0.13039690178043797,0.48059688210013685
48,9.474567033024651e-05,0.037366079480963446,0.0006104752669886627,0.10124583146270077,0.13026779348074236,0.7071067811863785,0.6696922273790268,1.7006703764298996,6.300087084618043,-0.040059662934742994,0.13446952109984986,0.47291678903867584
49,3.274372023006547e-05,0.03743117304388944,0.0006115090919731437,0.10124092210499162,0.13026719980505053,0.7071067811863785,0.6696874443803147,1.2607946390442413,6.553065961889321,-0.051695571571695444,0.13937789474494797,0.5128273977543856
50,0.00010821488252448591,0.037911935419671666,0.0006194297484976159,0.10125179098666247,0.1302695886482089,0.7071067811863785,0.669686614063368,2.2256349247201737,9.539107071420357,-0.02844003318693317,0.12540902440156848,0.4786705430345799
51,9.503879280967558e-05,0.03805159743698193,0.0006216877050682108,0.10124789344414835,0.1302688868660367,0.7071067811863785,0.6696984759429867,2.0750217382775626,8.809552817295282,-0.0031356589081872263,0.11607150355058732,0.5065099296864319
52,0.00015444610649335288,0.0384438404396688,0.0006281011835954228,0.10124870025182815,0.13026354404043475,0.7071067811863785,0.6696980978567758,2.126667511901782,8.506448338864555,0.016075045272572516,0.11462939377273826,0.4712684418900641
53,2.442487933455095e-05,0.03849704663417814,0.0006289752575679209,0.10124947023720964,0.13026161243654377,0.7071067811863785,0.6696973988127948,1.665300969234399,7.719623367534424,-0.01402663707272493,0.13884539837042184,0.4749260317628629
