iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol
5,0.19000381140553352,0.0,0.0,False,2000,4096,1e-07
9,0.19774907635131964,0.04149503998645001,1.0,False,2000,4096,1e-07
10,0.21329227188666122,0.044727690006405474,1.0,False,2000,4096,1e-07
15,0.18300853314572993,0.04962508574658507,1.0,False,2000,4096,1e-07
19,0.21277542034782185,0.05437361293832636,1.0,False,2000,4096,1e-07
20,0.1916585874055905,0.04778630310543212,1.0,False,2000,4096,1e-07
25,0.1825611900316025,0.0394513538664644,1.0,False,2000,4096,1e-07
29,0.18576735419887425,0.03670899777442949,1.0,False,2000,4096,1e-07
30,0.1820753075581115,0.038895102447240856,1.0,False,2000,4096,1e-07
35,0.18620325114103417,0.03688347949473396,1.0,False,2000,4096,1e-07
39,0.1892933321408576,0.03720073439543919,1.0,False,2000,4096,1e-07
40,0.18758063387810764,0.03612892811202853,1.0,False,2000,4096,1e-07
45,0.19289870815950466,0.038060907091168,1.0,False,2000,4096,1e-07
49,0.20078063455199996,0.04187172474495643,1.0,False,2000,4096,1e-07
50,0.195429184725221,0.04110206555419338,1.0,False,2000,4096,1e-07
55,0.19310879431073663,0.04296867733819826,1.0,False,2000,4096,1e-07
59,0.19842584540369598,0.05284908845146739,1.0,False,2000,4096,1e-07
60,0.19282703789573594,0.04805070213093045,1.0,False,2000,4096,1e-07
65,0.18011890308679862,0.046069060898306674,1.0,False,2000,4096,1e-07
69,0.20048907865791657,0.05029327831713171,1.0,False,2000,4096,1e-07
70,0.22009993472883374,0.05182861490040772,1.0,False,2000,4096,1e-07
74,0.21036052601596786,0.0,0.0,False,2000,4096,1e-07
79,0.2102329233931934,0.041585694309830785,1.0,False,2000,4096,1e-07
80,0.18834891811507112,0.04877562163356883,1.0,False,2000,4096,1e-07
85,0.1971351016706829,0.04637514425497361,1.0,False,2000,4096,1e-07
89,0.2041238915256077,0.04220762613862271,1.0,False,2000,4096,1e-07
90,0.20517366123950187,0.03793554890247359,1.0,False,2000,4096,1e-07
95,0.184865922398415,0.04387830136374644,1.0,False,2000,4096,1e-07
99,0.19842168164238752,0.04321557711269397,1.0,False,2000,4096,1e-07
100,0.18803117631846994,0.03959203758083457,1.0,False,2000,4096,1e-07
105,0.18799767025245498,0.03889907842837164,1.0,False,2000,4096,1e-07
109,0.19614117966960054,0.041595712575158095,1.0,False,2000,4096,1e-07
114,0.19460931663691647,0.0,0.0,False,2000,4096,1e-07
119,0.20506522302000807,0.0439879536711691,1.0,False,2000,4096,1e-07
120,0.1874913444154057,0.04420748114666515,1.0,False,2000,4096,1e-07
125,0.19621992453573237,0.04241084119530183,1.0,False,2000,4096,1e-07
129,0.1940094829460494,0.03913745965619326,1.0,False,2000,4096,1e-07
130,0.19180713738842226,0.039975389435683746,1.0,False,2000,4096,1e-07
135,0.18425916659931343,0.041162852728562654,1.0,False,2000,4096,1e-07
139,0.18386133462662052,0.036658715444202614,1.0,False,2000,4096,1e-07
140,0.19445099490959572,0.04262854758236325,1.0,False,2000,4096,1e-07
145,0.19991832038716417,0.04390864267829149,1.0,False,2000,4096,1e-07
149,0.16944267062757148,0.04848107492469229,1.0,False,2000,4096,1e-07
154,0.18842515554941075,0.0,0.0,False,2000,4096,1e-07
159,0.1924932318361601,0.04277952672436947,1.0,False,2000,4096,1e-07
160,0.20157239318773545,0.04653178884510804,1.0,False,2000,4096,1e-07
165,0.19748290168052396,0.045163391291100474,1.0,False,2000,4096,1e-07
169,0.1943404425217505,0.05006202511430211,1.0,False,2000,4096,1e-07
170,0.2072833933247865,0.052005493389058556,1.0,False,2000,4096,1e-07
175,0.20512231547718443,0.04965937232643962,1.0,False,2000,4096,1e-07
179,0.18903687973569747,0.04203905383671103,1.0,False,2000,4096,1e-07
180,0.17411170430479697,0.04930067629874873,1.0,False,2000,4096,1e-07
185,0.20290951648692404,0.0547752796764239,1.0,False,2000,4096,1e-07
189,0.2083852306101502,0.044062660045134816,1.0,False,2000,4096,1e-07
194,0.20202146259473008,0.0,0.0,False,2000,4096,1e-07
199,0.19571061575566048,0.04351004016312067,1.0,False,2000,4096,1e-07
