iter,td_loss,critic_teacher_error,tracking_gap,mean_rho2,w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv
0,1.6876009653772745e-05,0.013945648507783553,1.9283442957685904e-15,1.3292884311371882,4.581684736336919,nan,nan,0.0,nan,nan,nan,nan,nan
1,1.6484831476611724e-05,0.013945584725188675,4.4811704498618114e-15,1.3263085090639997,4.581683424776886,nan,nan,0.0,nan,nan,nan,nan,nan
2,1.878726527579718e-05,0.01394551070537704,6.773374259017907e-15,1.327224610920902,4.581681886927979,nan,nan,0.0,nan,nan,nan,nan,nan
3,1.6094331978760344e-05,0.013945448004147449,1.3884151113162523e-14,1.331701348967571,4.5816808655300045,nan,nan,0.0,nan,nan,nan,nan,nan
4,1.700643459355786e-05,0.013945381985354593,1.8892869898700967e-14,1.326282655382278,4.58167999734236,nan,nan,0.0,nan,nan,nan,nan,nan
5,1.812143227309837e-05,0.01394531133448227,2.0820116067157724e-14,1.3248500777620142,4.581678976126747,nan,nan,0.0,nan,nan,nan,nan,nan
6,1.6101506591435048e-05,0.01394524766030902,2.3658964559889847e-14,1.3230841016764328,4.581677663425909,nan,nan,0.0,nan,nan,nan,nan,nan
7,1.5692956504403444e-05,0.013945185496135807,2.791856075708177e-14,1.3289913681944032,4.581676325014985,nan,nan,0.0,nan,nan,nan,nan,nan
8,1.6622760884622023e-05,0.013945119623725967,3.381864504513008e-14,1.3278964045073434,4.581675102935091,nan,nan,0.0,nan,nan,nan,nan,nan
9,1.5430827375421677e-05,0.01394505843162628,3.600084808971233e-14,1.322486954536184,4.581673773775801,nan,nan,0.0,nan,nan,nan,nan,nan
10,1.8164568446977407e-05,0.013944985950583935,4.249462871394646e-14,1.3269653758887494,4.581672451828372,nan,nan,0.0,nan,nan,nan,nan,nan
11,1.5019887500833376e-05,0.01394492827485821,4.7108615123272716e-14,1.3268202899670216,4.581671218208368,nan,nan,0.0,nan,nan,nan,nan,nan
12,1.8918509753142364e-05,0.013944853802275175,5.73792333704263e-14,1.3302666628866882,4.581670132420494,nan,nan,0.0,nan,nan,nan,nan,nan
13,1.6973407384286856e-05,0.013944787835494112,6.490708313810969e-14,1.321288272894419,4.581669026781231,nan,nan,0.0,nan,nan,nan,nan,nan
14,1.4878683847863311e-05,0.013944730519423298,6.882676299605307e-14,1.334992787400352,4.581668081724287,nan,nan,0.0,nan,nan,nan,nan,nan
15,1.4430739417406416e-05,0.01394467448847264,7.935797460691789e-14,1.3235015919762663,4.581666808220336,nan,nan,0.0,nan,nan,nan,nan,nan
16,1.783503584244445e-05,0.01394460568067046,8.010642909217533e-14,1.3324116203447312,4.581666145797188,nan,nan,0.0,nan,nan,nan,nan,nan
17,1.68272546348757e-05,0.013944539776237115,7.772540591668584e-14,1.3291984797297567,4.58166518505011,nan,nan,0.0,nan,nan,nan,nan,nan
18,1.4872262502158532e-05,0.013944480761844544,8.046106965759036e-14,1.3250530131544367,4.581663830218744,nan,nan,0.0,nan,nan,nan,nan,nan
19,1.6897733888690488e-05,0.01394441639223808,8.770747283887768e-14,1.3242561652114306,4.5816628325713085,nan,nan,0.0,nan,nan,nan,nan,nan
20,1.6922595657370777e-05,0.013944351838099452,9.183662990965098e-14,1.3319668252949122,4.581661660700392,nan,nan,0.0,nan,nan,nan,nan,nan
21,1.7566789950339612e-05,0.013944285919767955,9.157068345550719e-14,1.3283701245852455,4.5816608008662305,nan,nan,0.0,nan,nan,nan,nan,nan
22,1.684714300769133e-05,0.013944219699248295,1.0685417925078949e-13,1.3277272520198278,4.581659467452146,nan,nan,0.0,nan,nan,nan,nan,nan
23,1.5363053458583716e-05,0.01394416141231853,1.1042823443260506e-13,1.3335376452242849,4.581658543477554,nan,nan,0.0,nan,nan,nan,nan,nan
24,1.6737649856708904e-05,0.01394409527240571,1.1535705236984218e-13,1.3241175089071084,4.5816575399796395,nan,nan,0.0,nan,nan,nan,nan,nan
25,1.5758077200256835e-05,0.01394403274913345,1.1749286234638912e-13,1.3245229378769618,4.581656364147949,nan,nan,0.0,nan,nan,nan,nan,nan
26,1.8110680365272304e-05,0.013943963039533018,1.2141179767469323e-13,1.325097422778773,4.581655211035283,nan,nan,0.0,nan,nan,nan,nan,nan
27,1.5125365487900776e-05,0.013943905009894227,1.2110094699366843e-13,1.3310150933494078,4.581654265949285,nan,nan,0.0,nan,nan,nan,nan,nan
28,1.4699218858990597e-05,0.013943847594424583,1.4398108912008206e-13,1.3250122072896968,4.581653081580356,nan,nan,0.0,nan,nan,nan,nan,nan
29,1.5801483340716372e-05,0.013943787307902255,1.5539789825206548e-13,1.3263069817389275,4.581652063968548,nan,nan,0.0,nan,nan,nan,nan,nan
30,1.644765896969381e-05,0.013943722738427939,1.6580589866322878e-13,1.3221108326242734,4.581650956750193,nan,nan,0.0,nan,nan,nan,nan,nan
31,1.6986990395317992e-05,0.013943657265038618,1.6665070921426416e-13,1.3272892074940545,4.581649924250453,nan,nan,0.0,nan,nan,nan,nan,nan
32,1.679705047844475e-05,0.013943592078002692,1.7976717783501835e-13,1.3221768395185893,4.581648754297582,nan,nan,0.0,nan,nan,nan,nan,nan
33,1.5185413661301967e-05,0.01394353366477258,1.9319209165991326e-13,1.3260810329344719,4.581647800588732,nan,nan,0.0,nan,nan,nan,nan,nan
34,1.4970427689117104e-05,0.013943475803140502,1.8921459411966056e-13,1.3300469280958893,4.58164670828779,nan,nan,0.0,nan,nan,nan,nan,nan
35,1.7658878860014386e-05,0.013943409268421438,1.7790626911742817e-13,1.3297585893568356,4.581645949574749,nan,nan,0.0,nan,nan,nan,nan,nan
36,1.940779864783102e-05,0.013943333710004087,1.7774114944758647e-13,1.3232242342379368,4.581644751560822,nan,nan,0.0,nan,nan,nan,nan,nan
37,1.6945953384305724e-05,0.013943267676042582,1.8573736139886407e-13,1.3320878384449812,4.5816437083192385,nan,nan,0.0,nan,nan,nan,nan,nan
38,1.590898804073945e-05,0.013943205751323708,1.8254200510007922e-13,1.3352086166741353,4.581642662819662,nan,nan,0.0,nan,nan,nan,nan,nan
39,1.632454124199608e-05,0.013943141166070384,1.760259703107778e-13,1.3282953648603502,4.58164152085211,nan,nan,0.0,nan,nan,nan,nan,nan
40,1.7474903192710088e-05,0.013943073047572368,1.7727728916328914e-13,1.324035383026081,4.58164049266362,nan,nan,0.0,nan,nan,nan,nan,nan
41,1.7245919062909166e-05,0.013943006888885763,1.8978925451381246e-13,1.3362710675851361,4.581639641514073,nan,nan,0.0,nan,nan,nan,nan,nan
42,1.5786855380985777e-05,0.013942944499245415,2.01113135578085e-13,1.3289711948577994,4.58163861046351,nan,nan,0.0,nan,nan,nan,nan,nan
43,1.6380987622825964e-05,0.013942879756634718,1.9264710255989898e-13,1.330203245178545,4.58163762343363,nan,nan,0.0,nan,nan,nan,nan,nan
44,1.573090268182916e-05,0.013942819983772111,1.9388796512559774e-13,1.3304490484859008,4.5816365883715156,nan,nan,0.0,nan,nan,nan,nan,nan
45,1.712917058558495e-05,0.013942752832429347,1.932003296726165e-13,1.3299299159741873,4.581635399440717,nan,nan,0.0,nan,nan,nan,nan,nan
46,1.547977372545815e-05,0.013942692041649728,2.0580147003367456e-13,1.3252117629213722,4.5816343461027556,nan,nan,0.0,nan,nan,nan,nan,nan
47,1.646932280254344e-05,0.013942628354119743,2.1114596725709958e-13,1.3268547540428415,4.581633067760385,nan,nan,0.0,nan,nan,nan,nan,nan
48,1.6102072986638586e-05,0.013942564779519717,1.9205191583102163e-13,1.3190675742722606,4.581632086895772,nan,nan,0.0,nan,nan,nan,nan,nan
49,1.5736854503326905e-05,0.01394250405150568,2.064316983700669e-13,1.332009523799002,4.581631024555218,0.11862334020446176,0.0,0.0,0.9999997667587425,0.008801590869221165,0.31554951110716606,0.04299523720565431,0.11295117615864926
50,1.697205060175178e-05,0.0139424375186258,2.0535663413497105e-13,1.3366037676979772,4.581629958724209,nan,nan,0.0,nan,nan,nan,nan,nan
51,1.5684770791530724e-05,0.013942376250908012,2.084065605003664e-13,1.3278403287507137,4.58162870668605,nan,nan,0.0,nan,nan,nan,nan,nan
52,1.6648729944412393e-05,0.013942311795147183,2.2191739154166466e-13,1.3265848127893916,4.5816275544729095,nan,nan,0.0,nan,nan,nan,nan,nan
53,1.5623304981622414e-05,0.013942249171348082,2.221581576000461e-13,1.3299405121789483,4.5816262409478705,nan,nan,0.0,nan,nan,nan,nan,nan
54,1.584310217530014e-05,0.013942188526058708,2.094423348310033e-13,1.3349786542176878,4.581624896022571,nan,nan,0.0,nan,nan,nan,nan,nan
55,1.6804219882186115e-05,0.01394212303914881,2.2316162710759964e-13,1.3249701954337842,4.58162376668482,nan,nan,0.0,nan,nan,nan,nan,nan
56,1.671375299093767e-05,0.013942058846027457,2.2090709931770421e-13,1.3224430974905366,4.581622883436998,nan,nan,0.0,nan,nan,nan,nan,nan
57,1.750682609329268e-05,0.013941991484823443,2.1225031969916838e-13,1.3244850258341545,4.581622129562777,nan,nan,0.0,nan,nan,nan,nan,nan
58,1.357827866300026e-05,0.01394193920045702,2.103024541894222e-13,1.3194740477309008,4.581621356993233,nan,nan,0.0,nan,nan,nan,nan,nan
59,1.698411679962075e-05,0.013941873669386875,2.007972215619313e-13,1.3249797321675285,4.581620582047267,nan,nan,0.0,nan,nan,nan,nan,nan
60,1.865193359800499e-05,0.013941800311356865,2.225009218142782e-13,1.3306786734575005,4.581619512741452,nan,nan,0.0,nan,nan,nan,nan,nan
61,1.6265618801284974e-05,0.01394173634710472,2.327673427104823e-13,1.326725167287371,4.581618336837495,nan,nan,0.0,nan,nan,nan,nan,nan
62,1.5275121573520147e-05,0.013941677189547974,2.4430707588710615e-13,1.322208872799161,4.5816175135340025,nan,nan,0.0,nan,nan,nan,nan,nan
63,1.689445127986643e-05,0.013941612598754136,2.4508826303396016e-13,1.3289364258999665,4.581616447327642,nan,nan,0.0,nan,nan,nan,nan,nan
64,1.6772669658545323e-05,0.013941548228876909,2.4445497063318574e-13,1.3257524534437328,4.581615490441742,nan,nan,0.0,nan,nan,nan,nan,nan
65,1.6848543651180347e-05,0.013941482485304007,2.5602566251788217e-13,1.3198247776061225,4.58161426645481,nan,nan,0.0,nan,nan,nan,nan,nan
66,1.4918362380005521e-05,0.013941424700793254,2.451353912752188e-13,1.3291527397420326,4.581613535667251,nan,nan,0.0,nan,nan,nan,nan,nan
67,1.536056171717176e-05,0.013941365928170692,2.4933290409943827e-13,1.3270044933265044,4.581612550556913,nan,nan,0.0,nan,nan,nan,nan,nan
68,1.71034038939966e-05,0.013941300271223304,2.5551799170381155e-13,1.3263790877777455,4.581611707754224,nan,nan,0.0,nan,nan,nan,nan,nan
69,1.6543791140928628e-05,0.013941236313903843,2.536743411352643e-13,1.3267478817834422,4.581610586993634,nan,nan,0.0,nan,nan,nan,nan,nan
70,1.5484269198969142e-05,0.01394117628174237,2.623082773125312e-13,1.3258657100420495,4.581609467683963,nan,nan,0.0,nan,nan,nan,nan,nan
71,1.4688469306462978e-05,0.013941120597233398,2.631500084348263e-13,1.321676481968617,4.581608769325058,nan,nan,0.0,nan,nan,nan,nan,nan
72,1.681210604260639e-05,0.013941054068352186,2.649559627452722e-13,1.3234590956840853,4.581607551830419,nan,nan,0.0,nan,nan,nan,nan,nan
73,1.7299182758826327e-05,0.013940986299545814,2.5720680727124337e-13,1.3307166879410002,4.5816060925672,nan,nan,0.0,nan,nan,nan,nan,nan
74,1.6137603486965578e-05,0.013940923656373448,2.5033733270535986e-13,1.3270416321042058,4.581605018967601,nan,nan,0.0,nan,nan,nan,nan,nan
75,1.616763969459273e-05,0.013940860998026109,2.5011456055957427e-13,1.3206488961065914,4.581603839425573,nan,nan,0.0,nan,nan,nan,nan,nan
