iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,0.00045239495318836337,0.036278827847521386,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0010042802755104866,0.021245855462103284,0.010366099634781878,0.01646363683988718,0.029636284783782742,1.161963893311027,0.0005136923064070055,0.0018869308799263705,0.10270406855676864,0.130498777727852,0.130498777727852,0.0,0.0001542231602637389,0.009305689576709384,-0.012376926856677775,0.040337295428991095,0.0,0.00022619747659418168
1,0.00020208897009355045,0.036263523213595036,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004807985119563126,0.013378051023359493,0.0018485818934874585,0.0061214503408329145,0.006789044105355287,1.1619025955380131,0.0003439075028455678,0.0011758432163609495,0.10269865054789742,0.13050760430630326,0.13050760430630326,0.0,0.00016131904034977522,0.00973436225025892,0.023823866383963888,0.04566017101342888,0.0,0.00010104448504677522
2,8.917663092305092e-05,0.03625667979895224,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0007402725804352768,0.00941427784961261,0.005552443381371158,0.008449574446815366,0.012098017630886667,1.1618359389650068,0.0002571455931535291,0.00048797742906792416,0.1026927588835495,0.13051401464633622,0.13051401464633622,0.0,0.00016413569904901262,0.009904894148716599,0.00464592193226856,0.039892898432214,0.0,4.458831546152546e-05
3,0.00016130047447003698,0.03624595174008138,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.00186622447010259,0.012562550724165348,0.004262852921928861,0.006833892114409729,0.012530863380633896,1.161820447972463,0.00029824231270124385,0.0008061466474592191,0.10269138966031512,0.13051992472440638,0.13051992472440638,0.0,0.00016935912011036545,0.010220241751578575,-0.018277713188551474,0.039438098831399065,0.0,8.065023723501849e-05
4,0.00018114224387675966,0.036233129069075255,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003662312540268563,0.012951050564882808,0.0077552436756103205,0.0128668861215414,0.01820038194788313,1.1617321937260574,0.00042812090933250273,0.0011198254046367174,0.10268358901330238,0.13051830306205187,0.13051830306205187,0.0,0.00017496942675648158,0.010559606635410671,-0.04169100889770537,0.04058978706258841,0.0,9.057112193837983e-05
5,0.00011993235706716517,0.03622443891789659,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0015188106673709684,0.010845532316297127,0.012390039541214445,0.01597842435539136,0.028608788134597527,1.1616074143779107,0.0002609594671564028,0.0007882216684330274,0.10267255997289906,0.13051729262086506,0.13051729262086506,0.0,0.0001781820617136941,0.010754647994465842,-0.0195602080203539,0.0365413191384749,0.0,5.9966178533582586e-05
6,0.00017381694200049579,0.03621067594187119,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0038509537312374554,0.012609008579597531,0.011292713159314084,0.013900748417469659,0.017352895728727644,1.161486322063476,0.0002303435339226785,0.001168977198803908,0.10266185682331326,0.13052071362356815,0.13052071362356815,0.0,0.00018396468723735665,0.011104831228417657,0.012878403216658434,0.04354438010516329,0.0,8.690847100024789e-05
7,0.0001738879274415673,0.036198126095254336,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0009222007747694029,0.013154370877110846,0.007463123029212937,0.00902558525790793,0.011784407842192821,1.1613973954431647,0.00018139833860239256,0.0008406799854918361,0.102653996746282,0.130522494781212,0.130522494781212,0.0,0.00018943271133338153,0.011435778198987097,-0.007102147256300935,0.044640261660156916,0.0,8.694396372078365e-05
8,0.0001968896211637039,0.03618370009143035,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003326846275102165,0.01363164388566334,0.0061849504676551965,0.009029042069434836,0.011438474572981508,1.1613931067223413,0.0003865718966776687,0.0011094970044176573,0.10265361767333489,0.13050333577218023,0.13050333577218023,0.0,0.0001966067999641431,0.01186891135935,-0.002707450519261051,0.041136710252817774,0.0,9.844481058185195e-05
9,0.0004240044120812622,0.03615495115009232,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.005005306130376658,0.019973765859809114,0.0065026455323392695,0.012536546655745594,0.013270750535729396,1.161290069593913,0.00039287814892652583,0.0019583529434938577,0.10264451039180669,0.1305189255190738,0.1305189255190738,0.0,0.00021004641670841536,0.012681369610300058,0.011891363744686006,0.03477945153194365,0.0,0.0002120022060406311
