iter,mmd2,mmd_sigma,mean_l2,num_samples
0,0.0527855180525828,2.3541578557951492,0.7840523726976157,512
1,0.042847332214031586,2.3545290050125107,0.6684170891378501,512
2,0.04147082046650863,2.3597426653292257,0.684104678790522,512
3,0.030903345266336868,2.3550524912625677,0.5225390543686588,512
4,0.0180547399299259,2.3709455052775925,0.3204918767249826,512
