iter,mean_rho,mean_rho2,p95_rho,p99_rho,max_rho,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec
0.0,1.0034750794169502,1.0815533003485793,1.3410990571996695,1.3570660479006909,1.3609692397155286,0.0,0.0,0.0,0.0,1.0034750794169502,1.0815533003485793,1.0034750794169502,1.0815533003485793
1.0,0.9997962696484071,1.075490558189634,1.331093738916315,1.3555843628390656,1.3611109035197253,0.0,0.0,0.0,0.0,0.9997962696484071,1.075490558189634,0.9997962696484071,1.075490558189634
2.0,1.0002685351159604,1.0755161646873508,1.336507626317695,1.356444444260777,1.3608264316045078,0.0,0.0,0.0,0.0,1.0002685351159604,1.0755161646873508,1.0002685351159604,1.0755161646873508
3.0,1.0043898513151688,1.0836493047535507,1.3386470284946779,1.3562505147928678,1.36103228250269,0.0,0.0,0.0,0.0,1.0043898513151688,1.0836493047535507,1.0043898513151688,1.0836493047535507
4.0,0.995434955854073,1.067272704094765,1.3358911085774836,1.356331692384614,1.3609203249525526,0.0,0.0,0.0,0.0,0.995434955854073,1.067272704094765,0.995434955854073,1.067272704094765
5.0,0.9953378292654359,1.0675180701866593,1.3305831023578882,1.3541252937540316,1.3608309561579908,0.0,0.0,0.0,0.0,0.9953378292654359,1.0675180701866596,0.9953378292654359,1.0675180701866593
6.0,0.998484633389119,1.0718241614340391,1.3366536287806452,1.356402895460758,1.3609151950423959,0.0,0.0,0.0,0.0,0.998484633389119,1.0718241614340391,0.998484633389119,1.0718241614340391
7.0,1.0058599356290483,1.0863340735071705,1.3379528291639753,1.355311754444412,1.3610616004694496,0.0,0.0,0.0,0.0,1.0058599356290483,1.0863340735071705,1.0058599356290483,1.0863340735071705
8.0,1.0022252131048328,1.0798957944819312,1.336175403283825,1.355977687830159,1.3610542835377166,0.0,0.0,0.0,0.0,1.0022252131048328,1.0798957944819312,1.0022252131048328,1.0798957944819312
9.0,0.9997685670009636,1.0720699522763786,1.337863025098577,1.3573842291736178,1.361066390244178,0.0,0.0,0.0,0.0,0.9997685670009636,1.0720699522763786,0.9997685670009636,1.0720699522763786
10.0,1.0000812644709554,1.0746050078955687,1.3374619436999287,1.356050224775421,1.361063585528787,0.0,0.0,0.0,0.0,1.0000812644709554,1.0746050078955687,1.0000812644709554,1.0746050078955687
11.0,0.999579628599194,1.0758626116546735,1.3369801200723213,1.3569017367591818,1.3609421614580184,0.0,0.0,0.0,0.0,0.999579628599194,1.0758626116546735,0.999579628599194,1.0758626116546735
12.0,1.002739758649691,1.0810434802631912,1.3332288877678475,1.3556412424870088,1.36094747929108,0.0,0.0,0.0,0.0,1.002739758649691,1.0810434802631912,1.002739758649691,1.0810434802631912
13.0,0.9953329940815567,1.0653729331011395,1.3299582714180658,1.3548485155601462,1.360831822840148,0.0,0.0,0.0,0.0,0.9953329940815567,1.0653729331011395,0.9953329940815567,1.0653729331011395
14.0,1.010446035357312,1.0952349791939984,1.3379391894864936,1.3560645800630164,1.3609914327984434,0.0,0.0,0.0,0.0,1.0104460353573121,1.0952349791939984,1.010446035357312,1.0952349791939984
15.0,0.9976371503855341,1.0696370491216916,1.3360509179631168,1.3567765459164112,1.3604790518575425,0.0,0.0,0.0,0.0,0.9976371503855341,1.0696370491216916,0.9976371503855341,1.0696370491216916
16.0,1.0038012370525835,1.0831903875331768,1.3349505729171123,1.3566123753859574,1.3609329459911665,0.0,0.0,0.0,0.0,1.0038012370525835,1.0831903875331768,1.0038012370525835,1.0831903875331768
17.0,0.996145655504464,1.0708134747987108,1.3402627331746886,1.3566407582070743,1.3611047818671516,0.0,0.0,0.0,0.0,0.996145655504464,1.0708134747987108,0.996145655504464,1.0708134747987108
18.0,0.9983177658958986,1.0713594726107742,1.3390189201311553,1.3566642646775409,1.360927292381371,0.0,0.0,0.0,0.0,0.9983177658958986,1.0713594726107742,0.9983177658958986,1.0713594726107742
19.0,1.001548936355164,1.0756894476214731,1.3348347134833378,1.3560892621285838,1.3610691149961096,0.0,0.0,0.0,0.0,1.001548936355164,1.0756894476214731,1.001548936355164,1.0756894476214731
20.0,1.0028036830759008,1.0822289110682295,1.3362011841054575,1.3558519153480546,1.3610702223917246,0.0,0.0,0.0,0.0,1.002803683075901,1.0822289110682295,1.0028036830759008,1.0822289110682295
21.0,1.0011520062693218,1.0777839679762107,1.3364888383481417,1.3534350563588813,1.3608155081097948,0.0,0.0,0.0,0.0,1.0011520062693215,1.0777839679762107,1.0011520062693218,1.0777839679762107
22.0,0.9962794579331111,1.0700451951939232,1.3356516845083557,1.356902070432323,1.3609778349342971,0.0,0.0,0.0,0.0,0.9962794579331111,1.0700451951939232,0.9962794579331111,1.0700451951939232
23.0,1.001277266832901,1.0806657954370222,1.33872826740666,1.355313503670361,1.3610401126787968,0.0,0.0,0.0,0.0,1.001277266832901,1.0806657954370222,1.001277266832901,1.0806657954370222
24.0,0.9970850846933493,1.0688001579969244,1.3360843436980823,1.3547762927610303,1.3609368994247417,0.0,0.0,0.0,0.0,0.9970850846933493,1.0688001579969244,0.9970850846933493,1.0688001579969244
25.0,0.9971791127929669,1.0700774244116036,1.3322585040760804,1.3555475860112136,1.3610857854772478,0.0,0.0,0.0,0.0,0.997179112792967,1.0700774244116036,0.9971791127929669,1.0700774244116036
26.0,1.0016315104320739,1.0759548922496298,1.3347484345725076,1.3554545190643486,1.3610068801751836,0.0,0.0,0.0,0.0,1.0016315104320739,1.0759548922496298,1.0016315104320739,1.0759548922496298
27.0,1.0021000701748128,1.0808901902350099,1.3364641703443942,1.356823576657976,1.3610206400195999,0.0,0.0,0.0,0.0,1.0021000701748128,1.0808901902350099,1.0021000701748128,1.0808901902350099
28.0,0.9997323151767606,1.073349648749981,1.3358710047919904,1.3561592644138145,1.360943376441256,0.0,0.0,0.0,0.0,0.9997323151767606,1.073349648749981,0.9997323151767606,1.073349648749981
29.0,1.0017724807740314,1.0771641854639626,1.336705707812709,1.3564941585498649,1.361041389798575,0.0,0.0,0.0,0.0,1.0017724807740314,1.0771641854639626,1.0017724807740314,1.0771641854639626
30.0,0.9957606933367578,1.068342123234141,1.3334471848367389,1.353949944555825,1.3607864511496326,0.0,0.0,0.0,0.0,0.9957606933367578,1.068342123234141,0.9957606933367578,1.068342123234141
31.0,0.9972761134676357,1.0729697063412467,1.3360406593814116,1.3575669208925691,1.361043495225035,0.0,0.0,0.0,0.0,0.9972761134676356,1.0729697063412467,0.9972761134676357,1.0729697063412467
32.0,0.9899917610934942,1.0581662585682592,1.3347308946360013,1.354468192348303,1.3608561742151983,0.0,0.0,0.0,0.0,0.9899917610934942,1.0581662585682592,0.9899917610934942,1.0581662585682592
33.0,0.998980205447155,1.0725044866669589,1.3350957240089083,1.3559427150226484,1.3609405641147587,0.0,0.0,0.0,0.0,0.998980205447155,1.0725044866669589,0.998980205447155,1.0725044866669589
34.0,1.0009722840131143,1.0770406073443966,1.335542262385397,1.3565804445064413,1.36067909400088,0.0,0.0,0.0,0.0,1.0009722840131143,1.0770406073443966,1.0009722840131143,1.0770406073443966
35.0,0.997837944807004,1.072936249463298,1.3354208604720499,1.3566887194672184,1.3609923913064708,0.0,0.0,0.0,0.0,0.997837944807004,1.072936249463298,0.997837944807004,1.072936249463298
36.0,0.9914895299357565,1.05956072383099,1.3342161246136954,1.3558629997778504,1.361059244378222,0.0,0.0,0.0,0.0,0.9914895299357565,1.05956072383099,0.9914895299357565,1.05956072383099
37.0,1.0025344396629468,1.0809684451874384,1.3369528057415478,1.3556105211882392,1.3610848971892324,0.0,0.0,0.0,0.0,1.0025344396629468,1.0809684451874384,1.0025344396629468,1.0809684451874384
38.0,1.0083987644179422,1.0911274275884713,1.3386146512379202,1.3554398473271507,1.3606306143874023,0.0,0.0,0.0,0.0,1.0083987644179422,1.0911274275884713,1.0083987644179422,1.0911274275884713
39.0,0.9957296564648795,1.0696679220479217,1.3388475824286206,1.3558870069814155,1.3607722133411675,0.0,0.0,0.0,0.0,0.9957296564648795,1.0696679220479215,0.9957296564648795,1.0696679220479217
40.0,0.9981336437001098,1.0708942664269463,1.3376584146205062,1.3558156448912484,1.3610583562497984,0.0,0.0,0.0,0.0,0.9981336437001098,1.0708942664269463,0.9981336437001098,1.0708942664269463
41.0,1.0085362615427733,1.0918573479142037,1.3395014698363679,1.356572672367842,1.3609599380646502,0.0,0.0,0.0,0.0,1.0085362615427733,1.0918573479142037,1.0085362615427733,1.0918573479142037
42.0,1.0028736211709468,1.0815941799422542,1.3361059768988184,1.3560692247054162,1.3610435022846088,0.0,0.0,0.0,0.0,1.0028736211709468,1.0815941799422542,1.0028736211709468,1.0815941799422542
43.0,0.9983025532775422,1.0735214654701941,1.3375583873587855,1.3561039929992444,1.3610176841083095,0.0,0.0,0.0,0.0,0.9983025532775422,1.0735214654701941,0.9983025532775422,1.0735214654701941
44.0,1.0061484120814286,1.085120703676099,1.3371117799808538,1.356295938413144,1.3609792280404631,0.0,0.0,0.0,0.0,1.0061484120814284,1.085120703676099,1.0061484120814286,1.085120703676099
45.0,1.0025960872505433,1.079670996500714,1.3356279633914294,1.3566259481302163,1.361054281387275,0.0,0.0,0.0,0.0,1.0025960872505433,1.079670996500714,1.0025960872505433,1.079670996500714
46.0,1.0031581596328973,1.079374518686755,1.3349703512256834,1.3556871491887346,1.3610426555231772,0.0,0.0,0.0,0.0,1.0031581596328973,1.079374518686755,1.0031581596328973,1.079374518686755
47.0,0.9978881920838298,1.0737547744236537,1.3337648835905163,1.3563784365954337,1.361066944329517,0.0,0.0,0.0,0.0,0.9978881920838297,1.0737547744236537,0.9978881920838298,1.0737547744236537
48.0,0.99191476608692,1.0594776626935927,1.3319521238221794,1.3550980417932557,1.3610983341347136,0.0,0.0,0.0,0.0,0.99191476608692,1.0594776626935927,0.99191476608692,1.0594776626935927
49.0,1.0034750815216307,1.0815533047356427,1.3410989973045118,1.3570660376720813,1.3609692435588159,0.0,0.0,0.0,0.0,1.0034750815216307,1.0815533047356427,1.0034750815216307,1.0815533047356427
50.0,0.9997962672951638,1.0754905532651406,1.3310936326306793,1.355584392493245,1.361110903598528,0.0,0.0,0.0,0.0,0.9997962672951638,1.0754905532651406,0.9997962672951638,1.0754905532651406
51.0,1.0002685338792394,1.0755161655868029,1.3365075747926656,1.3564444250413354,1.360826432920968,0.0,0.0,0.0,0.0,1.0002685338792394,1.0755161655868029,1.0002685338792394,1.0755161655868029
52.0,1.0043898522863748,1.0836493068385793,1.3386469045626879,1.3562505027095604,1.361032281388571,0.0,0.0,0.0,0.0,1.0043898522863748,1.0836493068385793,1.0043898522863748,1.0836493068385793
53.0,0.9954349580886037,1.067272707978406,1.3358911934040694,1.3563316744672433,1.3609203249645736,0.0,0.0,0.0,0.0,0.9954349580886037,1.067272707978406,0.9954349580886037,1.067272707978406
54.0,0.9953378247402493,1.067518061885415,1.3305830094549527,1.3541252528756846,1.3608309612237288,0.0,0.0,0.0,0.0,0.9953378247402493,1.067518061885415,0.9953378247402493,1.067518061885415
55.0,0.998484631002604,1.0718241544740372,1.3366536260149084,1.3564028721074748,1.3609151871178045,0.0,0.0,0.0,0.0,0.998484631002604,1.0718241544740374,0.998484631002604,1.0718241544740372
56.0,1.0058599375733344,1.0863340771273657,1.337952847907948,1.3553117657581002,1.361061601935561,0.0,0.0,0.0,0.0,1.0058599375733344,1.0863340771273657,1.0058599375733344,1.0863340771273657
57.0,1.002225210333267,1.0798957902490132,1.336175397614643,1.3559777126247068,1.3610542835290154,0.0,0.0,0.0,0.0,1.002225210333267,1.079895790249013,1.002225210333267,1.0798957902490132
58.0,0.9997685667312376,1.0720699515128953,1.3378629548697334,1.357384245883781,1.3610663897187054,0.0,0.0,0.0,0.0,0.9997685667312376,1.0720699515128953,0.9997685667312376,1.0720699515128953
59.0,1.0000812679894417,1.0746050151291349,1.3374619724447785,1.3560502140696944,1.3610635843798788,0.0,0.0,0.0,0.0,1.0000812679894417,1.0746050151291349,1.0000812679894417,1.0746050151291349
