iter,stability_proxy,power_iters,batch_size
0,0.9999913415722261,20,512
1,0.9999904661397808,20,512
2,0.9999895647257389,20,512
3,0.9999916150514712,20,512
4,0.9999917340651693,20,512
5,0.9999921145767171,20,512
6,0.9999923076586249,20,512
7,0.9999917568193094,20,512
