run_id,beta,alpha_w,offpolicy_axis,offpolicy_value,seed,health_status,stable_flag,incomplete,instability_flag,plateau_flag,offpolicy_flag,offpolicy_score,instability_score,drift_score,td_loss_last,td_loss_slope,td_loss_range,w_norm_last,w_norm_slope,tracking_gap_last,tracking_gap_p95,mean_rho2_last,mean_rho2_p95,dist_action_kl_p95,dist_action_tv_p95,stability_proxy_last,run_dir
b0p005_aw0p02_sigma_mu0p175_s0_eb4a791b,0.005,0.02,sigma_mu,0.175,0,PASS,False,False,True,False,True,1.3648828910576438,inf,0.5824989845173574,1.5006752132538168e-05,-6.553270236167454e-08,4.894936328772796e-06,4.5816598862111615,-1.3792328922532842e-07,1.529111173778993e-12,1.5385796659263084e-12,2.0131317233576307,2.364882891057644,0.8607825087422717,0.3787817786123929,0.9999979152013303,outputs/sweep/20251229_102740/runs/b0p005_aw0p02_sigma_mu0p175_s0_eb4a791b
b0p005_aw0p02_sigma_mu0p7_s0_013c6677,0.005,0.02,sigma_mu,0.7,0,PASS,False,False,True,False,True,2.173097761314948,inf,0.4763533393159993,1.6163422770641704e-05,1.5687498103965598e-08,4.527732751195159e-06,4.581656278035281,-1.695360712909387e-07,2.810498925491517e-12,2.6355956455475684e-12,3.1346005672116286,3.173097761314948,0.8782691901625577,0.7000867749751701,0.9999976072860421,outputs/sweep/20251229_102740/runs/b0p005_aw0p02_sigma_mu0p7_s0_013c6677
b0p005_aw0p24_sigma_mu0p175_s0_92b1233d,0.005,0.24,sigma_mu,0.175,0,PASS,False,False,True,False,True,1.3648828909682478,inf,0.5824989898693382,1.451984441863901e-05,-6.652939918381605e-08,4.800315623916512e-06,4.581428465304897,-1.1296287615008906e-06,1.5237551103599163e-12,1.5292745347027272e-12,2.013131719392947,2.3648828909682478,0.8607825087422731,0.3787817786138845,0.9999759393693938,outputs/sweep/20251229_102740/runs/b0p005_aw0p24_sigma_mu0p175_s0_92b1233d
b0p005_aw0p24_sigma_mu0p7_s0_433ed98c,0.005,0.24,sigma_mu,0.7,0,PASS,False,False,True,False,True,2.1730977615093074,inf,0.47635333998859997,1.562254542232203e-05,1.2981974734780081e-08,4.346927601250355e-06,4.58139874024597,-1.43815234538056e-06,2.814245764075215e-12,2.6435960050027143e-12,3.1346005644539843,3.1730977615093074,0.8782691901625598,0.700086775438253,0.999972627807132,outputs/sweep/20251229_102740/runs/b0p005_aw0p24_sigma_mu0p7_s0_433ed98c
b0p4_aw0p02_sigma_mu0p175_s0_5f7e73cd,0.4,0.02,sigma_mu,0.175,0,PASS,False,False,True,False,True,1.3648830994174554,inf,0.58249889568012,1.5006751930071132e-05,-6.553272777379783e-08,4.894936653276134e-06,4.58165988621011,-1.3792326999793516e-07,3.1084141343898228e-15,4.356839751067915e-15,2.0131315402996894,2.3648830994174554,0.8607825087387152,0.37878177829421367,0.999997915201607,outputs/sweep/20251229_102740/runs/b0p4_aw0p02_sigma_mu0p175_s0_5f7e73cd
b0p4_aw0p02_sigma_mu0p7_s0_8115b1ab,0.4,0.02,sigma_mu,0.7,0,PASS,False,False,True,False,True,2.173097837782597,inf,0.47635363577571876,1.6163421991386432e-05,1.568749945406873e-08,4.5277331955299895e-06,4.581656278035907,-1.6953604309160777e-07,1.297631474557065e-15,3.146533851608287e-15,3.134600929685311,3.173097837782597,0.8782691901621626,0.7000866723168918,0.9999976072860808,outputs/sweep/20251229_102740/runs/b0p4_aw0p02_sigma_mu0p7_s0_8115b1ab
b0p4_aw0p24_sigma_mu0p175_s0_286495a9,0.4,0.24,sigma_mu,0.175,0,PASS,False,False,True,False,True,1.364883099322579,inf,0.5824988961410762,1.4519844211053673e-05,-6.652942536205856e-08,4.800315949689137e-06,4.5814284652925625,-1.129628526705917e-06,3.0397565008259434e-15,4.295981998426931e-15,2.013131540922987,2.364883099322579,0.8607825087387151,0.3787817782941948,0.9999759393723775,outputs/sweep/20251229_102740/runs/b0p4_aw0p24_sigma_mu0p175_s0_286495a9
b0p4_aw0p24_sigma_mu0p7_s0_d8de6485,0.4,0.24,sigma_mu,0.7,0,PASS,False,False,True,False,True,2.17309783780422,inf,0.4763536361874956,1.562254465613087e-05,1.2981975759645005e-08,4.346928001089783e-06,4.5813987402498535,-1.4381520312038052e-06,1.2678340856850287e-15,3.0975313927001358e-15,3.134600929859055,3.17309783780422,0.8782691901621626,0.7000866723166972,0.9999726278074766,outputs/sweep/20251229_102740/runs/b0p4_aw0p24_sigma_mu0p7_s0_d8de6485
