iter,td_loss,critic_teacher_error,tracking_gap,mean_rho2,w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2
0,3.9874858102734524e-05,0.02238589076269836,1.0435084527070561e-11,1.77998782662024,1.5482714919684342,0.024988720242623413,0.0,0.0,0.9999913415722261,0.05278551805258269,0.7840523726976157
1,0.00010232496298692331,0.022384662166282095,4.1057419508854366e-11,1.4294693439412458,1.548266876531246,0.026809323500101696,0.019816425872568783,1.0,0.9999904661397808,0.04284733221403125,0.6684170891378501
2,8.443225878416434e-05,0.022383803066427066,6.343749055792713e-11,1.7603729134688615,1.5482623905804176,0.01602360681152295,0.021203695180748317,1.0,0.9999895647257389,0.04147082046650852,0.6841046787905218
3,5.624717953239446e-05,0.022382824503431615,4.525294385014115e-11,1.58484345445087,1.5482549085920079,0.020925476250861684,0.017799565176327865,1.0,0.9999916150514712,0.03090334526633709,0.5225390543686588
4,0.00015153025060005368,0.022380879557405173,7.945832307083368e-11,1.4799988696921667,1.5482396713832387,0.02160970248269506,0.017212815664483072,1.0,0.9999917340651693,0.01805473992992601,0.3204918767249825
