iter,mean_rho,mean_rho2,p95_rho,p99_rho,max_rho,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec
0.0,0.8708872493830248,1.3760807451661672,2.4106184178009986,5.0,5.0,0.0,0.0,0.0,0.0,0.9637168231657482,4.829928360127701,0.963716823165748,4.829928360127701
1.0,0.885035002181946,1.460109199354196,2.4718276688205187,5.0,5.0,0.0,0.0,0.0,0.0,0.9971954857422577,5.427603465066726,0.9971954857422577,5.427603465066726
2.0,0.8746642572970661,1.3823661107718488,2.3057956826077946,5.0,5.0,0.0,0.0,0.0,0.0,0.9991920297578646,12.225559126255451,0.9991920297578646,12.225559126255451
3.0,0.8686385631707205,1.3714210540901124,2.300286343890223,5.0,5.0,0.0,0.0,0.0,0.0,0.9716874944104713,6.87262795917633,0.9716874944104713,6.872627959176336
4.0,0.8894681475401461,1.450201686666162,2.357610198029413,5.0,5.0,0.0,0.0,0.0,0.0,0.9944261606026917,5.389727493071916,0.9944261606026917,5.389727493071914
5.0,0.8965547123566643,1.499339515458846,2.4901526470988355,5.0,5.0,0.0,0.0,0.0,0.0,1.0051327782128103,9.615416414110037,1.0051327782128103,9.615416414110037
6.0,0.8797351199758975,1.3957018510445771,2.4199036596730457,5.0,5.0,0.0,0.0,0.0,0.0,1.067104615154561,19.048526916159737,1.0671046151545611,19.048526916159734
7.0,0.874395916802652,1.4326970628335656,2.513700539016318,5.0,5.0,0.0,0.0,0.0,0.0,0.9558043934444532,3.496510455840987,0.9558043934444532,3.496510455840987
8.0,0.8833075238231802,1.4723929677609526,2.5294946107233454,5.0,5.0,0.0,0.0,0.0,0.0,1.1025051530736627,42.38231661168315,1.1025051530736627,42.38231661168315
9.0,0.8664753689388252,1.3349414669379995,2.294513929592205,5.0,5.0,0.0,0.0,0.0,0.0,0.9460391333527796,4.1605609125308725,0.9460391333527796,4.1605609125308725
10.0,0.8736701962847653,1.3729091154145214,2.3112229636017876,5.0,5.0,0.0,0.0,0.0,0.0,0.9421074766800431,3.29210508946353,0.9421074766800434,3.29210508946353
11.0,0.8891631955425475,1.49454397024704,2.4402065553996533,5.0,5.0,0.0,0.0,0.0,0.0,1.0967774066413996,28.46341808331767,1.0967774066413998,28.463418083317716
12.0,0.8772404957265115,1.4143893987643061,2.3479304414625015,5.0,5.0,0.0,0.0,0.0,0.0,0.9973290039208146,7.9751835710073635,0.9973290039208148,7.975183571007372
13.0,0.8863424763644775,1.4357410391944498,2.529334914571255,5.0,5.0,0.0,0.0,0.0,0.0,0.9972453836421064,5.832955833301844,0.9972453836421061,5.832955833301844
14.0,0.8605877091001407,1.3661762140906588,2.381637250186446,5.0,5.0,0.0,0.0,0.0,0.0,0.9474443523924754,3.7622001959060003,0.9474443523924754,3.7622001959060003
15.0,0.8804485879049048,1.4003348479314628,2.4262236935633377,5.0,5.0,0.0,0.0,0.0,0.0,0.9338097397730661,2.510596880720188,0.9338097397730661,2.510596880720188
16.0,0.8738735431000599,1.4071700109369494,2.3199034793159012,5.0,5.0,0.0,0.0,0.0,0.0,0.9913659826000654,7.431524872923547,0.9913659826000654,7.4315248729235455
17.0,0.8986455676883089,1.4990356153739637,2.5304723593107323,5.0,5.0,0.0,0.0,0.0,0.0,0.9964928630302103,5.418628188249081,0.9964928630302103,5.418628188249081
18.0,0.8760464459178878,1.3954053458802536,2.3685983883920145,5.0,5.0,0.0,0.0,0.0,0.0,0.9801669436967848,4.267483221141175,0.9801669436967848,4.267483221141175
19.0,0.8620908344707346,1.3021225525001217,2.3155286313528243,4.977292564419112,5.0,0.0,0.0,0.0,0.0,0.9512291549084676,6.604348952733776,0.9512291549084676,6.604348952733776
20.0,0.8806267715142302,1.43430723118809,2.39099831216629,5.0,5.0,0.0,0.0,0.0,0.0,1.0005122510940325,7.156118118910985,1.0005122510940325,7.156118118910988
