iter,td_loss,critic_teacher_error,tracking_gap,mean_rho2,w_norm,fixed_point_gap,fixed_point_drift,stability_proxy,dist_mmd2,dist_mean_l2
0,3.987485810273452e-05,0.02238589076269836,1.0435084527070561e-11,1.7799878266202398,1.548271491968434,0.02498872024262341,nan,0.9999913415722262,0.0527855180525828,0.7840523726976157
1,0.00010232496298692331,0.022384662166282092,4.1057419508854366e-11,1.429469343941246,1.548266876531246,0.026809323500101703,0.01981642587256878,0.9999904661397809,0.042847332214031586,0.6684170891378501
2,8.443225878416435e-05,0.022383803066427066,6.343749055792713e-11,1.7603729134688613,1.5482623905804178,0.01602360681152295,0.021203695180748317,0.9999895647257389,0.04147082046650863,0.684104678790522
3,5.624717953239444e-05,0.022382824503431615,4.525294385014115e-11,1.58484345445087,1.5482549085920077,0.020925476250861684,0.017799565176327872,0.9999916150514712,0.030903345266336868,0.5225390543686588
4,0.00015153025060005368,0.02238087955740517,7.945832307083368e-11,1.4799988696921664,1.5482396713832387,0.021609702482695052,0.017212815664483072,0.9999917340651692,0.0180547399299259,0.3204918767249826
