iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
10,0.00032113874164027106,0.03613075806824894,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0021107225328026212,0.017795605975346566,0.013305822399196525,0.021887199694462928,0.023532896720064474,1.161109714036119,0.0,0.0012620679795906564,0.10262856906206409,0.13051990504203748,0.13051990504203748,0.0,0.00022050679470667273,0.013314973726610281,0.014620581140915656,0.038823485656299894,0.0,0.00016056937082013553
11,0.0003234498568618901,0.03610963245679043,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.005108784929119685,0.017243844507820454,0.004399955089303734,0.010573080021847685,0.013105873488622004,1.1611142028978598,0.0,0.0015246526599435903,0.10262896582513618,0.13051990504203748,0.13051990504203748,0.0,0.0002311103197409855,0.01395519781077784,0.014821870667999709,0.037115258680183304,0.0,0.00016172492843094505
12,0.00011901924074614751,0.036099940597340674,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003103136026783985,0.010458957287675612,0.006605437559315013,0.008513876064251006,0.018890990858887416,1.1609758286881755,0.0,0.0009038730883886986,0.10261673515738504,0.13051990504203748,0.13051990504203748,0.0,0.00023470110347782736,0.014173710222489727,-0.006802238892072421,0.04183633403956656,0.0,5.9509620373073756e-05
13,0.00014506723071082279,0.03609005705178312,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0022315186381206267,0.011835858873716899,0.0068606150106737575,0.009699346993545981,0.013210734491233913,1.1610070384649291,0.0,0.0008444544116641741,0.10261949373798276,0.13051990504203748,0.13051990504203748,0.0,0.0002399259565960929,0.014488852069461862,0.018181707233537736,0.04296572321874457,0.0,7.253361535541139e-05
14,0.00035545562224722935,0.036066966843950124,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.00575608648200581,0.01795335875703762,0.005875211190452013,0.015873281623277103,0.016208604900443523,1.1609521238540703,0.0,0.0017349564041381188,0.10261463992626721,0.13051990504203748,0.13051990504203748,0.0,0.00025097297659139014,0.015156685776187881,-0.01447767027342837,0.034955941983211315,0.0,0.00017772781112361467
15,0.0001905125113105306,0.036055179487908116,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0043551978499737935,0.013097509801413177,0.0026534044410012115,0.004370167432048312,0.0046347170872639044,1.1609457604025433,0.0,0.0010032297345752654,0.1026140774713014,0.13051990504203748,0.13051990504203748,0.0,0.00025680893865677673,0.015509214480885632,0.027861422661863273,0.0397789296595108,0.0,9.52562556552653e-05
16,0.0001948396946869937,0.03604298785243344,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004192945764612799,0.013313861216867529,0.0030499462873380652,0.007442476467396546,0.015421393989189073,1.1609158304242264,0.0,0.0010557164756788582,0.10261143200997282,0.13051990504203748,0.13051990504203748,0.0,0.00026263329831962764,0.015861368332026136,0.004800577493026691,0.043787651899611216,0.0,9.741984734349685e-05
17,0.00033770385099581913,0.03601989087515927,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.007143345096765845,0.016931523021403907,0.0033873261565418797,0.004781624667955271,0.005833127369999679,1.1608704251017257,0.0,0.001764276177341783,0.10260741870854254,0.13051990504203748,0.13051990504203748,0.0,0.00027376998440316,0.016534599505767775,-0.004760040090351577,0.04190987447021452,0.0,0.00016885192549790957
18,0.0001628968139158271,0.036007911233496524,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0016038291550626205,0.012661932947113494,0.008479522992010696,0.009868702444071774,0.016733874738720365,1.1608082849513015,0.0,0.0008893386204782417,0.10260192624332393,0.13051990504203748,0.13051990504203748,0.0,0.00027919625263968934,0.01686322682544402,-0.0009166964857340153,0.04820785061925728,0.0,8.144840695791355e-05
19,0.0001201952797190023,0.03600031441213608,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-6.51369519382579e-05,0.010963167283978406,0.0111784149375494,0.01259657286196712,0.013370553397468614,1.1607625688173124,0.0,0.0008750632309034533,0.10259788546977976,0.13051990504203748,0.13051990504203748,0.0,0.0002825800803346939,0.01706827946938297,0.0027992038011487685,0.043426912739661976,0.0,6.009763985950115e-05
20,0.0005401445023122703,0.03596366105536817,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.006316805902074207,0.022366100811446566,0.005452587857756809,0.011682968518486454,0.015614368111531699,1.1606204491586167,0.0,0.0023102571865807908,0.10258532374797931,0.13051990504203748,0.13051990504203748,0.0,0.00029961803152249054,0.018099614461095963,-0.007947186921390601,0.04492082445193116,0.0,0.00027007225115613517
21,0.00016921466292255967,0.03595196991519411,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001641200543428247,0.01290430640130691,0.006987925358861019,0.008708796595448261,0.009067680698055577,1.160581196096239,0.0,0.0008675426901312897,0.10258185423465561,0.13051990504203748,0.13051990504203748,0.0,0.0003051076864807236,0.018431862201700896,0.023097259950643916,0.04538298595941932,0.0,8.460733146127984e-05
22,0.00038436721906237543,0.0359262327642438,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0041574518671070124,0.019159405341373826,0.007930446078583071,0.010725334906561227,0.01321435197809588,1.1605193590716958,0.0,0.001746953252540942,0.10257638856223274,0.13051990504203748,0.13051990504203748,0.0,0.0003174155980808875,0.01917641726042703,-0.0016052702745455092,0.044881047968413024,0.0,0.00019218360953118772
23,0.0004075768026444864,0.03589863829151952,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.002256409971837976,0.020062039195542326,0.010280507598295246,0.013809032059618396,0.014482081162924841,1.1604351459357196,0.0,0.0015704746546470845,0.10256894510229352,0.13051990504203748,0.13051990504203748,0.0,0.00033044933890660354,0.019965289389197186,0.007188117357005782,0.04421130028278815,0.0,0.0002037884013222432
24,0.00017392184721414005,0.03588736811014403,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0033890904927950443,0.01274503483109349,0.005079992386200857,0.011442474620629918,0.01882123846943853,1.1604320682258675,0.0,0.0009968987559910195,0.10256867306860516,0.13051990504203748,0.13051990504203748,0.0,0.0003360565274229054,0.02030412177019817,0.009341593305727383,0.044989508171668254,0.0,8.696092360707002e-05
25,0.0003543336143849806,0.03586441394633735,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.006250447025183292,0.017755718131643054,0.005367445145296468,0.009144322374394017,0.010849617449535207,1.1603972499540303,0.0,0.0016761054648080846,0.10256559553908949,0.13051990504203748,0.13051990504203748,0.0,0.0003472179559430807,0.020979111013281284,0.0062327584968148745,0.039471008655101024,0.0,0.0001771668071924903
26,0.0003277901101890703,0.035842142549415014,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0024298513714113745,0.01794117979682274,0.007906948106060421,0.009766509886199452,0.01054573061990046,1.1602962488428739,0.0,0.0014848097381282037,0.10255666821776373,0.13051990504203748,0.13051990504203748,0.0,0.000357438058224439,0.021598495477781764,-0.0034985143001656435,0.04203338442973686,0.0,0.00016389505509453514
27,0.0003527058009399345,0.03581730194352633,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003930745544001358,0.018364504905067493,0.010365445357530503,0.014340828312698504,0.022723339521314504,1.160140691199217,0.0,0.0016213632800516954,0.10254291873467683,0.13051990504203748,0.13051990504203748,0.0,0.00036844835451781783,0.022266787142571274,0.0009587113722347206,0.03804890894198158,0.0,0.00017635290046996726
28,0.0002631659023023038,0.035797769045387645,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0014228384172939117,0.016159871074379776,0.011206077616870709,0.013557041165231784,0.016330744013220284,1.1600443801396447,0.0,0.0013267402189207033,0.10253440595926099,0.13051990504203748,0.13051990504203748,0.0,0.0003773419149831604,0.02280615336747982,-0.02085131462240107,0.039179451298432866,0.0,0.0001315829511511519
29,0.0002713809363454499,0.03577893268840897,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.002311295262658197,0.016310697426973005,0.0067501667120605235,0.008524440184416863,0.012517610890767202,1.159947545260711,0.0,0.001216702862873812,0.10252584688431732,0.13051990504203748,0.13051990504203748,0.0,0.0003858825304364716,0.023324286291985845,-0.022380164652590014,0.033149006571442464,0.0,0.00013569046817272495
30,0.00020232233144967555,0.035763801819593995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004694621187552203,0.013426945421616246,0.004953871760388475,0.007366563791903382,0.012889982298344083,1.159829819209975,0.0,0.00116945788298031,0.10251544127321759,0.13051990504203748,0.13051990504203748,0.0,0.0003923811748919759,0.023719497754265437,-0.02037659011083256,0.03752687933126388,0.0,0.00010116116572483777
31,0.0004065042957497676,0.03573587531186451,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003938744027463093,0.019773482021027338,0.01001669126421462,0.014359168246805979,0.01832376956391119,1.1597236809958469,0.0,0.0018363251901508748,0.10250605989184847,0.13051990504203748,0.13051990504203748,0.0,0.00040538273631107215,0.024507686733365775,0.005919782554510025,0.03739519117288618,0.0,0.0002032521478748838
32,0.00011506616047248923,0.03572748230886748,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.002573252933262272,0.010413670333458148,0.004569662487017107,0.006681064658479715,0.011610461281510808,1.159613573390676,0.0,0.000741898032234812,0.1024963276625639,0.13051990504203748,0.13051990504203748,0.0,0.00040858167268980694,0.024703426006176678,-0.005194431910910858,0.03534985023165624,0.0,5.7533080236244616e-05
33,0.0005390460781738395,0.0356924149225854,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.006009260067792649,0.022426209479345195,0.008285857565333146,0.0104620010728099,0.026098057513267263,1.159652989833328,0.0,0.0025144246357153787,0.1024998116168001,0.13051990504203748,0.13051990504203748,0.0,0.00042647246441476164,0.025784252153464575,0.010781288016886525,0.03714625852481487,0.0,0.00026952303908691976
