iter,mean_rho,mean_rho2,p95_rho,p99_rho,max_rho,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec
0.0,1.148940084434135,1.3292884311371882,1.341099057199669,1.3570660479006915,1.3609692397155284,0.518125,0.10869550194965306,0.456697440437727,1.0127597345640988,1.00347507941695,1.0815533003485793,1.148940084434135,1.3292884311371882
1.0,1.1478500444897635,1.3263085090639997,1.3310937295778498,1.3555843585459442,1.3611109035011648,0.5175,0.11096059573337808,0.4613391996504656,1.0683606797465475,0.9997962690824252,1.0754905570145825,1.1478500444897635,1.3263085090639997
2.0,1.148138650386468,1.327224610920902,1.3365076076562303,1.3564444375845914,1.360826432839152,0.51625,0.11048335527080677,0.44712356931684455,1.164755197533687,1.0002685365550865,1.0755161675147198,1.148138650386468,1.327224610920902
3.0,1.1499787839131759,1.331701348967571,1.3386469855478067,1.3562505166737289,1.3610322799961982,0.5115625,0.10877186397563034,0.44621796287179216,1.1092400208016662,1.0043898504053876,1.0836493038383537,1.1499787839131759,1.331701348967571
4.0,1.147659234936518,1.326282655382278,1.3358911330408472,1.3563316611919172,1.3609203189847718,0.533125,0.11381962706390691,0.45100917843063865,1.0315584738744077,0.9954349559575241,1.0672727036513916,1.147659234936518,1.326282655382278
5.0,1.1472385365365343,1.3248500777620142,1.330583116588848,1.3541252870162257,1.3608309610284255,0.5221875,0.11366784224592469,0.46238247934981935,1.1392227786575593,0.9953378302351535,1.067518070866485,1.1472385365365343,1.3248500777620142
6.0,1.1464179228689426,1.3230841016764328,1.3366536678710823,1.3564028938290438,1.360915191798394,0.520625,0.11072572573603852,0.4591728089691196,1.1659620783480975,0.9984846337113922,1.0718241617209259,1.1464179228689426,1.3230841016764328
7.0,1.1488990446522296,1.3289913681944032,1.3379528854115095,1.3553117690654073,1.3610615984761976,0.506875,0.10709149171089102,0.4643337607413557,0.9916570723781044,1.0058599367685266,1.0863340751210067,1.1488990446522296,1.3289913681944032
8.0,1.1484663903346675,1.3278964045073434,1.3361753929681848,1.3559776915290116,1.3610542803084182,0.5109375,0.10970550979200983,0.4634876822333366,1.2517441779071818,1.0022252191286902,1.079895806601738,1.1484663903346675,1.3278964045073434
9.0,1.1460149658482488,1.322486954536184,1.3378630792070083,1.357384243147381,1.3610663909497596,0.53,0.10913897263960891,0.4441722021116883,1.0489185784663602,0.999768571058826,1.0720699582882203,1.1460149658482488,1.322486954536184
10.0,1.1480256548303507,1.3269653758887494,1.3374620113820095,1.3560502144989794,1.361063584937423,0.52625,0.11038061738437595,0.4469470996457969,1.0055019524173598,1.0000812630750244,1.0746050061899135,1.1480256548303507,1.3269653758887494
11.0,1.1480334886130203,1.3268202899670216,1.3369800929453202,1.3569017355906285,1.3609421590115294,0.5103125,0.11149093879890977,0.45908799250046856,1.2167330658593707,0.9995796211602951,1.0758625957826928,1.1480334886130203,1.3268202899670216
12.0,1.149480315761401,1.3302666628866882,1.3332288400595684,1.3556412212510238,1.3609474844122693,0.5121875,0.10978618347794036,0.450562799351244,1.1127356091435063,1.0027397564309188,1.0810434776480062,1.149480315761401,1.3302666628866882
13.0,1.1457573973067654,1.321288272894419,1.32995815550849,1.354848571330128,1.3608318236283907,0.5253125,0.11251582125328462,0.4671981341471807,1.0448238324458485,0.9953329884370214,1.0653729218360017,1.1457573973067654,1.321288272894419
14.0,1.1514144196268559,1.334992787400352,1.337939036542639,1.3560646323379422,1.3609914288270422,0.506875,0.10542740303598533,0.45569289772808197,0.9865788349447485,1.0104460246632758,1.0952349604121165,1.1514144196268559,1.334992787400352
15.0,1.1465463866654633,1.3235015919762663,1.3360509576185784,1.356776534549141,1.3604790567090181,0.5253125,0.1110609844281018,0.456021869139246,0.9161330620161818,0.9976371473944511,1.0696370402649324,1.1465463866654633,1.3235015919762663
16.0,1.1503411844999112,1.3324116203447312,1.3349504646463275,1.3566123757374795,1.3609329428748678,0.51,0.10962645139329269,0.44762775002561195,1.0981767875856583,1.0038012340926976,1.083190382173484,1.1503411844999112,1.3324116203447312
