iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999840253998128,0.9999840253998128,2.7515941776088087e-06,20,4096,2.5e-05,1.0014115852816412,1.0786124016253305,0.016154438236411137,1.3674302208360491,1.3388864989080547,1.3581827185765645,10.0,1.0
9,0.9999843669826258,0.9999843669826258,1.1362857379012046e-06,20,4096,2.5e-05,1.0027885159971714,1.0816910402417876,0.010131000980798261,1.3682796989008457,1.337681959490952,1.357607990943041,10.0,1.0
10,0.9999841214956782,0.9999841214956782,1.6648707557883103e-06,20,4096,2.5e-05,1.0006767254293354,1.0768817534098156,0.014939848265220716,1.3676036281106727,1.3373146530313358,1.3572033005046753,10.0,1.0
15,0.9999846058249442,0.9999846058249442,9.933539512625413e-07,20,4096,2.5e-05,0.9983270950113996,1.0725076575867662,0.036128162959534756,1.3674071832291697,1.3363301372578487,1.3574335320083144,10.0,1.0
19,0.999983473843294,0.999983473843294,3.680304919409108e-06,20,4096,2.5e-05,0.9991111189219717,1.0748999583649514,0.030774008612630802,1.3673405450791074,1.3372868457205267,1.3574929187698748,10.0,1.0
20,0.9999825896399027,0.9999825896399027,1.9771046377124194e-06,20,4096,2.5e-05,0.9980998542888633,1.0724770841400995,0.03471295824051815,1.3659402543192243,1.3366087948209193,1.3573806801759605,10.0,1.0
25,0.9999837598124883,0.9999837598124883,3.063573085578283e-06,20,4096,2.5e-05,1.0004365976719518,1.0772937505390103,0.018234011748560517,1.3650843792165746,1.3378589432723196,1.3573472250314704,10.0,1.0
29,0.9999839799787307,0.9999839799787307,5.281203703054543e-07,20,4096,2.5e-05,0.9991966455285777,1.0741964004814832,0.028798314091736943,1.364380387862022,1.336278916450444,1.3572768732730014,10.0,1.0
30,0.9999839374179257,0.9999839374179257,2.5582262399298502e-06,20,4096,2.5e-05,0.9972232567012471,1.0706845050868572,0.03550162476827583,1.3650832913607562,1.3361549472882794,1.3568597220166263,10.0,1.0
35,0.9999840956812789,0.9999840956812789,1.2376169999073904e-06,20,4096,2.5e-05,1.0011068869629574,1.079261155101241,0.034622653081502155,1.3655571070546464,1.3382174241452591,1.3578416612557445,10.0,1.0
