iter,mean_rho,mean_rho2,p95_rho,p99_rho,max_rho,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec
0.0,0.963716823165748,4.829928360127701,2.4106184178009986,5.977217576206757,58.85648163794639,0.0,0.0,0.0,0.0,0.9637168231657482,4.829928360127701,0.963716823165748,4.829928360127701
1.0,0.9971954823422783,5.427603452076815,2.4718278588854132,7.2254828430051425,83.1202355384951,0.0,0.0,0.0,0.0,0.9971954823422783,5.427603452076815,0.9971954823422783,5.427603452076815
2.0,0.9991920246257134,12.225559525851791,2.3057961860798115,5.948894203402707,172.44642477315108,0.0,0.0,0.0,0.0,0.9991920246257134,12.225559525851791,0.9991920246257134,12.225559525851791
3.0,0.9716875165278017,6.872633740904305,2.3002869887005426,5.869660221775093,112.07032911172249,0.0,0.0,0.0,0.0,0.9716875165278017,6.872633740904305,0.9716875165278017,6.872633740904305
4.0,0.9944260073791982,5.3897190345218995,2.357615131064383,5.904390724593275,60.76349365545346,0.0,0.0,0.0,0.0,0.9944260073791982,5.3897190345218995,0.9944260073791982,5.3897190345218995
5.0,1.005132791133115,9.615412070172592,2.490153031008095,7.14826255847667,150.64124582148926,0.0,0.0,0.0,0.0,1.005132791133115,9.615412070172592,1.005132791133115,9.615412070172592
6.0,1.0671044788298873,19.0484908920117,2.4199082680272634,5.538831609569599,172.78138896584542,0.0,0.0,0.0,0.0,1.0671044788298876,19.0484908920117,1.0671044788298873,19.0484908920117
7.0,0.9558042682587043,3.496507098960525,2.5137037533405513,6.138764396982606,48.20300012136733,0.0,0.0,0.0,0.0,0.9558042682587043,3.496507098960525,0.9558042682587043,3.496507098960525
8.0,1.1025046058637693,42.382017901244325,2.5294940684126495,7.002662164626795,323.7126156714688,0.0,0.0,0.0,0.0,1.1025046058637693,42.382017901244325,1.1025046058637693,42.382017901244325
9.0,0.9460390332042011,4.1605541575763185,2.294514624849336,5.704323368328031,70.72680855796705,0.0,0.0,0.0,0.0,0.9460390332042011,4.160554157576322,0.9460390332042011,4.1605541575763185
10.0,0.9421075235042582,3.292105763757961,2.311229901405608,6.050508052218726,53.80713495380514,0.0,0.0,0.0,0.0,0.9421075235042582,3.292105763757961,0.9421075235042582,3.292105763757961
11.0,1.0967774633429892,28.463405797635705,2.440201849454137,8.526130223560347,262.902283212372,0.0,0.0,0.0,0.0,1.0967774633429892,28.463405797635716,1.0967774633429892,28.463405797635705
12.0,0.9973289059136075,7.975184666580394,2.347935332289511,5.608055892306125,111.43211815940435,0.0,0.0,0.0,0.0,0.9973289059136075,7.975184666580392,0.9973289059136075,7.975184666580394
13.0,0.9972451463000721,5.832933448485169,2.529329702637092,6.15342298805541,69.69496065169966,0.0,0.0,0.0,0.0,0.9972451463000721,5.832933448485169,0.9972451463000721,5.832933448485169
14.0,0.9474444147353341,3.7621966591413174,2.3816320920332847,6.33728898427339,46.11752038535821,0.0,0.0,0.0,0.0,0.9474444147353341,3.7621966591413165,0.9474444147353341,3.7621966591413174
15.0,0.9338097612451486,2.5105977140045708,2.4262219927063464,5.684211093761069,28.61233204824299,0.0,0.0,0.0,0.0,0.9338097612451486,2.5105977140045708,0.9338097612451486,2.5105977140045708
16.0,0.9913661331795629,7.43152050876774,2.319904546599347,6.400071096593153,100.2292847215042,0.0,0.0,0.0,0.0,0.9913661331795628,7.431520508767737,0.9913661331795629,7.43152050876774
17.0,0.9964928121782318,5.418618105169157,2.5304769484482597,6.518009254832122,73.75194444364784,0.0,0.0,0.0,0.0,0.9964928121782318,5.418618105169157,0.9964928121782318,5.418618105169157
18.0,0.9801668705340729,4.267481026884877,2.36860058382756,7.440175012658276,48.13010689295134,0.0,0.0,0.0,0.0,0.9801668705340729,4.267481026884875,0.9801668705340729,4.267481026884877
19.0,0.9512294483019217,6.604361334043878,2.315529720748877,4.977300783944079,111.09970766092553,0.0,0.0,0.0,0.0,0.9512294483019218,6.604361334043878,0.9512294483019217,6.604361334043878
20.0,1.0005121700841928,7.156107505471314,2.3909969684975456,6.053738216025777,76.96659236382771,0.0,0.0,0.0,0.0,1.0005121700841928,7.156107505471314,1.0005121700841928,7.156107505471314
21.0,0.961769528555458,3.5552024456397904,2.4582654694498456,6.295762072036278,44.06670949271057,0.0,0.0,0.0,0.0,0.961769528555458,3.5552024456397904,0.961769528555458,3.5552024456397904
22.0,1.036331245096082,21.052592063445683,2.517649258655045,6.3127894357765735,238.0477777334896,0.0,0.0,0.0,0.0,1.036331245096082,21.052592063445683,1.036331245096082,21.052592063445683
23.0,0.9790226642251305,3.516207295049908,2.4688423942646094,8.128887597365926,43.093449984679374,0.0,0.0,0.0,0.0,0.9790226642251306,3.5162072950499077,0.9790226642251305,3.516207295049908
24.0,0.9591944309232402,3.7189994595842224,2.3525379177849866,5.766424327827442,45.06878930422961,0.0,0.0,0.0,0.0,0.9591944309232402,3.7189994595842224,0.9591944309232402,3.7189994595842224
25.0,0.9799397967751833,4.909911700175453,2.4361890594038798,6.464072565210426,65.3859011506217,0.0,0.0,0.0,0.0,0.9799397967751833,4.909911700175453,0.9799397967751833,4.909911700175453
26.0,0.9289128759655122,2.8037761619145893,2.3043981972339567,5.817871299941607,36.90478920083685,0.0,0.0,0.0,0.0,0.9289128759655122,2.8037761619145893,0.9289128759655122,2.8037761619145893
27.0,0.9731139731037427,4.3894088482125095,2.5504741621709295,6.1150907164299815,54.65502681231492,0.0,0.0,0.0,0.0,0.9731139731037429,4.3894088482125095,0.9731139731037427,4.3894088482125095
28.0,0.9953856761581037,7.076910322931082,2.2908550720686085,6.7499109879350705,88.2380130075291,0.0,0.0,0.0,0.0,0.9953856761581037,7.076910322931082,0.9953856761581037,7.076910322931082
29.0,0.9399555571935514,3.436773204968399,2.3596367092409327,5.694398673418651,53.863789594914934,0.0,0.0,0.0,0.0,0.9399555571935514,3.4367732049684,0.9399555571935514,3.436773204968399
30.0,1.0147334474955638,5.69665146735726,2.5649247623370157,8.26833359525834,90.29602769468501,0.0,0.0,0.0,0.0,1.0147334474955638,5.696651467357263,1.0147334474955638,5.69665146735726
