seed,num_samples,action_samples,dist_action_kl,dist_action_tv
0,512,64,0.04716307495259403,0.11351280448768745
1,512,64,0.033966716942170384,0.09491185167410364
2,512,64,0.07658320341364717,0.14390805891317876
3,512,64,0.02234284063806661,0.0755145867836163
4,512,64,0.04010119480563751,0.10239499251818351
5,512,64,0.050537363943826644,0.11762032811954791
6,512,64,0.04160682048122543,0.10373649693450243
7,512,64,0.028996352955118286,0.08317772355440545
8,512,64,0.0653922926777122,0.13341517946812048
9,512,64,0.04693555595968907,0.10777333715051228
10,512,64,0.04306485608113085,0.10329357109714385
11,512,64,0.03245310905860807,0.09331868575979987
12,512,64,0.028451605394422274,0.08827394346518672
13,512,64,0.051538313123924144,0.11515366852531783
14,512,64,0.03651116660978987,0.09822487700558524
15,512,64,0.06732639166769798,0.13018891094647939
16,512,64,0.029397637667423482,0.08731518102404073
17,512,64,0.03935341451253069,0.10148489547335875
18,512,64,0.04157887513141445,0.1052401085637104
19,512,64,0.04037577579356134,0.09929345133762008
20,512,64,0.030869880094667707,0.090429284943118
21,512,64,0.02606909254876241,0.08229675463125213
22,512,64,0.024961439125048793,0.08092754666282163
23,512,64,0.029401165434288765,0.08661740538300763
24,512,64,0.0349986882392468,0.09394314812875279
25,512,64,0.0429712762986791,0.10497499010377145
26,512,64,0.04162492633372933,0.10166719068594453
27,512,64,0.022239949873641522,0.07383618976999747
28,512,64,0.030950505529186226,0.08901844006763171
29,512,64,0.04325808180315138,0.10500000971533509
