iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples
19,0.02147281622574615,2.3291603476628344,0.49078587901276194,4096,0.619992741508915,0.33370639021667986,64
39,0.05181141806975298,2.339905979801628,0.8016013035482459,4096,0.6199927415094226,0.33380060084292,64
59,0.025465406048352235,2.3585040436564833,0.5455555034018816,4096,0.6199927415109976,0.33370905008836144,64
79,0.031426770033963436,2.3717398554798477,0.6243499535824257,4096,0.6199927415122675,0.33376523308609507,64
