iter,w_gap,w_sharp_drift,converged,num_iters,batch_size,tol
0,0.024988697368814428,nan,False,200,512,1e-06
1,0.02680930707890348,0.019816430091339574,False,200,512,1e-06
2,0.016023719837537708,0.021203625298251556,False,200,512,1e-06
3,0.020925461454292606,0.017799528865709978,False,200,512,1e-06
4,0.021609671234043917,0.017212841740933394,False,200,512,1e-06
