iter,td_loss,critic_teacher_error,tracking_gap,mean_rho2,w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv
0,6.760460593485862e-05,0.022385445633137005,2.8706581648728122e-11,1.77998782662024,1.5482436843438367,0.02906376748582679,0.0,0.0,0.99997843203927,0.052785594866000096,0.7840526686956741,0.255374660680025,0.2881598387601271
1,9.724655341431956e-05,0.022384144361504578,4.7188747576719035e-11,1.429471463936628,1.5482282181051938,0.0355655145914621,0.029309863337798205,1.0,0.9999757302423025,0.0428473912547912,0.668417668906293,0.2553746606847122,0.299875851943246
2,9.985798351243091e-05,0.0223828365023706,6.94953264513415e-11,1.7603751096105897,1.5481820528368964,0.023687198333582623,0.03001557020441865,1.0,0.999967180447591,0.04147082329943852,0.6841046294565605,0.2553746606888798,0.2866195287900804
3,7.933863969680714e-05,0.022381484599199038,4.680850569088896e-11,1.5848434090498142,1.548147804092959,0.027307008421597993,0.02526872126024787,1.0,0.9999716817951304,0.03090325327127208,0.5225383136758671,0.2553746606747775,0.2974412479243862
4,0.00016474806376779515,0.02237930953111923,8.49851299569964e-11,1.4800007583294021,1.5481190955806512,0.032348436892866615,0.02955709482694678,1.0,0.9999720584644873,0.018054714257991544,0.32049132267537256,0.2553746606933506,0.2931605623060484
